cidade,uf,total de jornais online
NOVA ANDRADINA,MS,6
NOVA IGUAÇU,RJ,6
PALMITOS,SC,6
POUSO ALEGRE,MG,6
SANTA CRUZ DO SUL,RS,6
SANTANA DE PARNAÍBA,SP,6
SENADOR CANEDO,GO,6
SUZANO,SP,6
TERESÓPOLIS,RJ,6
TORRES,RS,6
TRÊS LAGOAS,MS,6
VÁRZEA GRANDE,MT,6
AMERICANA,SP,5
ANGRA DOS REIS,RJ,5
ARAXÁ,MG,5
ARAÇATUBA,SP,5
ARROIO GRANDE,RS,5
ATIBAIA,SP,5
BETIM,MG,5
CAMPO MOURÃO,PR,5
CAMPOS DOS GOYTACAZES,RJ,5
CAPINZAL,SC,5
CARAZINHO,RS,5
CIANORTE,PR,5
COXIM,MS,5
CÁCERES,MT,5
ERECHIM,RS,5
FORMOSA,GO,5
FREDERICO WESTPHALEN,RS,5
GOIANÉSIA,GO,5
GUARAPARI,ES,5
ITANHAÉM,SP,5
ITAPETININGA,SP,5
ITAPIRA,SP,5
ITUMBIARA,GO,5
JACAREÍ,SP,5
JEQUIÉ,BA,5
LUCAS DO RIO VERDE,MT,5
MACAÉ,RJ,5
MIGUEL PEREIRA,RJ,5
NAVEGANTES,SC,5
PARAUAPEBAS,PA,5
PATO BRANCO,PR,5
PINDAMONHANGABA,SP,5
POMERODE,SC,5
REGISTRO,SP,5
RESENDE,RJ,5
ROLIM DE MOURA,RO,5
ROSÁRIO DO SUL,RS,5
SANTARÉM,PA,5
SANTO ANTÔNIO DE PÁDUA,RJ,5
SAPIRANGA,RS,5
SEARA,SC,5
SINOP,MT,5
SOMBRIO,SC,5
SÃO GABRIEL,RS,5
TAIÓ,SC,5
TANGARÁ DA SERRA,MT,5
URUGUAIANA,RS,5
VARGINHA,MG,5
VILHENA,RO,5
XANXERÊ,SC,5
ADAMANTINA,SP,4
AGUAÍ,SP,4
ALEGRETE,RS,4
AVARÉ,SP,4
BARRA DO GARÇAS,MT,4
BARREIRAS,BA,4
BEBEDOURO,SP,4
CACHOEIRA DO SUL,RS,4
CAETÉ,MG,4
CAFELÂNDIA,SP,4
CANDEIAS,BA,4
CANELA,RS,4
CAPIVARI,SP,4
CAPIVARI DE BAIXO,SC,4
CAPÃO DA CANOA,RS,4
CARAGUATATUBA,SP,4
CASIMIRO DE ABREU,RJ,4
CATANDUVA,SP,4
CAÇAPAVA DO SUL,RS,4
COLATINA,ES,4
CÂNDIDO MOTA,SP,4
DIADEMA,SP,4
ENCANTADO,RS,4
ESTÂNCIA VELHA,RS,4
FLORES DA CUNHA,RS,4
FORMIGA,MG,4
FRUTAL,MG,4
GARANHUNS,PE,4
GOIOERÊ,PR,4
GUAXUPÉ,MG,4
GURUPI,TO,4
HERVAL D`OESTE,SC,4
HORIZONTINA,RS,4
IBIRUBÁ,RS,4
IRATI,PR,4
ITAGUAÍ,RJ,4
ITUIUTABA,MG,4
ITUPORANGA,SC,4
ITUVERAVA,SP,4
IVOTI,RS,4
IÇARA,SC,4
JABOTICABAL,SP,4
JAGUARUNA,SC,4
JOÃO MONLEVADE,MG,4
JUAZEIRO,BA,4
LAPA,PR,4
LIMEIRA,SP,4
LUIS EDUARDO MAGALHÃES,BA,4
MAGÉ,RJ,4
MAUÁ,SP,4
MEDIANEIRA,PR,4
NOVA FRIBURGO,RJ,4
NOVA PETRÓPOLIS,RS,4
OSÓRIO,RS,4
OURO PRETO,MG,4
PALOTINA,PR,4
PANAMBI,RS,4
PAPANDUVA,SC,4
PARAGUAÇU PAULISTA,SP,4
PARAÍBA DO SUL,RJ,4
PERUÍBE,SP,4
PINHAIS,PR,4
PORTO UNIÃO,SC,4
RESTINGA SECA,RS,4
RIBEIRÃO PIRES,SP,4
RIO BRANCO DO SUL,PR,4
RIO DAS OSTRAS,RJ,4
SALTO,SP,4
SANTO ÂNGELO,RS,4
SAQUAREMA,RJ,4
SÃO FRANCISCO DO SUL,SC,4
SÃO JOAQUIM,SC,4
SÃO JOÃO DA BOA VISTA,SP,4
SÃO JOÃO DE MERITI,RJ,4
SÃO JOÃO DEL REI,MG,4
SÃO PEDRO DO SUL,RS,4
SÃO SEPÉ,RS,4
SÃO VICENTE,SP,4
TATUÍ,SP,4
TOLEDO,PR,4
TRAMANDAÍ,RS,4
TRIUNFO,RS,4
TRÊS PASSOS,RS,4
TUPÃ,SP,4
UNIÃO DA VITÓRIA,PR,4
VALENÇA,BA,4
VALINHOS,SP,4
VITÓRIA DA CONQUISTA,BA,4
ABELARDO LUZ,SC,3
ALAGOINHAS,BA,3
ALMENARA,MG,3
ALMIRANTE TAMANDARÉ,PR,3
ALÉM PARAÍBA,MG,3
ANCHIETA,ES,3
AQUIDAUANA,MS,3
ARAPIRACA,AL,3
ARARAS,SP,3
ARCOS,MG,3
ARMAÇÃO DOS BÚZIOS,RJ,3
ARRAIAL DO CABO,RJ,3
ASSIS CHATEAUBRIAND,PR,3
BAMBUÍ,MG,3
BATAGUASSU,MS,3
BERTIOGA,SP,3
BOA ESPERANÇA,MG,3
CACOAL,RO,3
CAIEIRAS,SP,3
CAMAÇARI,BA,3
CAMPINA GRANDE,PB,3
CAMPO BOM,RS,3
CAMPO LIMPO PAULISTA,SP,3
CAMPOS NOVOS,SC,3
CANDELÁRIA,RS,3
CARANGOLA,MG,3
CARATINGA,MG,3
CERES,GO,3
CERQUILHO,SP,3
COLÍDER,MT,3
CONCHAS,SP,3
CORDEIRO,RJ,3
DIONÍSIO CERQUEIRA,SC,3
ESPÍRITO SANTO DO PINHAL,SP,3
ESTRELA,RS,3
GARIBALDI,RS,3
GASPAR,SC,3
GRAMADO,RS,3
GUANAMBI,BA,3
GUARAREMA,SP,3
IBIÚNA,SP,3
IGREJINHA,RS,3
IRECÊ,BA,3
ITAJUBÁ,MG,3
ITAPEVA,SP,3
ITAPEVI,SP,3
ITAQUAQUECETUBA,SP,3
ITATIBA,SP,3
JACAREZINHO,PR,3
JACIARA,MT,3
JALES,SP,3
JANAÚBA,MG,3
JANDIRA,SP,3
JARDINÓPOLIS,SP,3
JARINU,SP,3
JOSÉ BONIFÁCIO,SP,3
LAGOA DA PRATA,MG,3
LAVRAS,MG,3
LEME,SP,3
LINHARES,ES,3
LUZ,MG,3
LUZIÂNIA,GO,3
MANGARATIBA,RJ,3
MARABÁ,PA,3
MARAU,RS,3
MARAVILHA,SC,3
MARECHAL CÂNDIDO RONDON,PR,3
MARIANA,MG,3
MESQUITA,RJ,3
MIRASSOL,SP,3
MOGI-MIRIM,SP,3
MONTE ALTO,SP,3
NOVA ERA,MG,3
NOVA LIMA,MG,3
PALMEIRA DAS MISSÕES,RS,3
PARACATU,MG,3
PARANAGUÁ,PR,3
PARÁ DE MINAS,MG,3
PASSOS,MG,3
PATOS DE MINAS,MG,3
PEDREIRA,SP,3
PEDRO LEOPOLDO,MG,3
PINHEIROS,ES,3
PIRATUBA,SC,3
PIRES DO RIO,GO,3
PIÇARRAS,SC,3
PORCIÚNCULA,RJ,3
PORTO SEGURO,BA,3
PRAIA GRANDE,SP,3
QUARAÍ,RS,3
QUIXERAMOBIM,CE,3
RIBAS DO RIO PARDO,MS,3
RIO BONITO,RJ,3
RIO DAS PEDRAS,SP,3
RIO DO CAMPO,SC,3
RIO NEGRINHO,SC,3
RIO VERDE DE MATO GROSSO,MS,3
RODEIO,SC,3
SANTA BÁRBARA,MG,3
SANTA CRUZ DO RIO PARDO,SP,3
SANTA ROSA,RS,3
SANTA VITÓRIA DO PALMAR,RS,3
SANTANA DO LIVRAMENTO,RS,3
SANTIAGO,RS,3
SANTO ANTÔNIO DE POSSE,SP,3
SANTOS DUMONT,MG,3
SAPUCAIA DO SUL,RS,3
SARANDI,PR,3
SERRA,ES,3
SOLEDADE,RS,3
SORRISO,MT,3
SÃO BORJA,RS,3
SÃO GABRIEL DA PALHA,ES,3
SÃO JERÔNIMO,RS,3
SÃO JOSÉ DO RIO PARDO,SP,3
SÃO JOÃO DA BARRA,RJ,3
SÃO LUIZ GONZAGA,RS,3
SÃO MATEUS,ES,3
SÃO MIGUEL DO IGUAÇU,PR,3
SÃO PEDRO,SP,3
TAPEJARA,RS,3
TAQUARI,RS,3
TELÊMACO BORBA,PR,3
TEUTÔNIA,RS,3
TREMEMBÉ,SP,3
TRÊS BARRAS,SC,3
TRÊS RIOS,RJ,3
TUPANCIRETÃ,RS,3
UBÁ,MG,3
UNAÍ,MG,3
VACARIA,RS,3
VALPARAÍSO DE GOIÁS,GO,3
VARGEM GRANDE DO SUL,SP,3
VERANÓPOLIS,RS,3
VINHEDO,SP,3
VIÇOSA,MG,3
WENCESLAU BRAZ,PR,3
XAXIM,SC,3
AGUDO,RS,2
ALTO PARAÍSO DE GOIÁS,GO,2
ALTÔNIA,PR,2
ALUMÍNIO,SP,2
AMAMBAÍ,MS,2
AMPARO,SP,2
ANDIRÁ,PR,2
ANDRADAS,MG,2
APARECIDA DO TABOADO,MS,2
APIÚNA,SC,2
ARAPONGAS,PR,2
ARARIPINA,PE,2
ARAUCÁRIA,PR,2
ARROIO DO MEIO,RS,2
ARTUR NOGUEIRA,SP,2
ARUJÁ,SP,2
BAEPENDI,MG,2
BAIXA GRANDE,BA,2
BALNEÁRIO PINHAL,RS,2
BALNEÁRIO PIÇARRAS,SC,2
BANDEIRANTES,PR,2
BARBACENA,MG,2
BARRA DE SÃO FRANCISCO,ES,2
BARRA DO PIRAÍ,RJ,2
BOITUVA,SP,2
BOM DESPACHO,MG,2
BORDA DA MATA,MG,2
BRODOWSKI,SP,2
BROTAS,SP,2
BRUMADINHO,MG,2
BURITAMA,SP,2
CABREÚVA,SP,2
CACEQUI,RS,2
CACHOEIRAS DE MACACU,RJ,2
CACONDE,SP,2
CAJAZEIRAS,PB,2
CAJURU,SP,2
CAMAQUÃ,RS,2
CAMBÉ,PR,2
CAMPINA GRANDE DO SUL,PR,2
CAMPO BELO,MG,2
CANDEIAS DO JAMARI,RO,2
CAPELINHA,MG,2
CAPÃO BONITO,SP,2
CARLOS BARBOSA,RS,2
CARMO,RJ,2
CARMO DO PARANAÍBA,MG,2
CARMO DO RIO CLARO,MG,2
CARUARU,PE,2
CASSILÂNDIA,MS,2
CASTANHAL,PA,2
CASTRO,PR,2
CAXAMBU,MG,2
CERQUEIRA CÉSAR,SP,2
CHAPADA DOS GUIMARÃES,MT,2
CHAPADÃO DO SUL,MS,2
COCAL DO SUL,SC,2
COLINA,SP,2
COLOMBO,PR,2
COLORADO DO OESTE,RO,2
COSTA RICA,MS,2
CRUZEIRO DO OESTE,PR,2
CURITIBANOS,SC,2
CURRAIS NOVOS,RN,2
DESCALVADO,SP,2
DIAMANTINA,MG,2
DIVINO,MG,2
DOIS CÓRREGOS,SP,2
DOIS IRMÃOS,RS,2
DOM PEDRITO,RS,2
DOMINGOS MARTINS,ES,2
DRACENA,SP,2
ELDORADO DO SUL,RS,2
EMBU DAS ARTES,SP,2
ENCRUZILHADA DO SUL,RS,2
ESTEIO,RS,2
EUNÁPOLIS,BA,2
EUSÉBIO,CE,2
EXTREMA,MG,2
FARROUPILHA,RS,2
FARTURA,SP,2
FERRAZ DE VASCONCELOS,SP,2
FORQUILHINHA,SC,2
FRANCISCO MORATO,SP,2
FRANCO DA ROCHA,SP,2
GARÇA,SP,2
GETÚLIO VARGAS,RS,2
GOIATUBA,GO,2
GUABIRUBA,SC,2
GUANHÃES,MG,2
GUAPORÉ,RS,2
GUARARAPES,SP,2
GUARATUBA,PR,2
GUARÁ,SP,2
IGARAÇU DO TIETÊ,SP,2
IGUABA GRANDE,RJ,2
ILHA SOLTEIRA,SP,2
ILHÉUS,BA,2
IMPERATRIZ,MA,2
IRACEMÁPOLIS,SP,2
ITABERAÍ,GO,2
ITABIRITO,MG,2
ITABORAÍ,RJ,2
ITAIÓPOLIS,SC,2
ITAPACI,GO,2
ITAPIRANGA,SC,2
ITIRAPINA,SP,2
ITUPEVA,SP,2
ITURAMA,MG,2
JAGUARIÚNA,SP,2
JAGUARÃO,RS,2
JANDAIA DO SUL,PR,2
JANUÁRIA,MG,2
JARU,RO,2
JATAÍ,GO,2
JÚLIO DE CASTILHOS,RS,2
LADÁRIO,MS,2
LARANJAL PAULISTA,SP,2
LEOPOLDINA,MG,2
LINS,SP,2
LOANDA,PR,2
LORENA,SP,2
MAIRIPORÃ,SP,2
MANGUEIRINHA,PR,2
MATÃO,SP,2
MINAÇU,GO,2
MIRACEMA,RJ,2
MIRANDA,MS,2
MOCOCA,SP,2
MONTANHA,ES,2
MONTE ALEGRE,PA,2
MONTE AZUL PAULISTA,SP,2
MORRETES,PR,2
MORRO AGUDO,SP,2
MUNDO NOVO,MS,2
MUZAMBINHO,MG,2
MUÇUM,RS,2
NAVIRAÍ,MS,2
NERÓPOLIS,GO,2
NOVA ESPERANÇA,PR,2
NOVA OLÍMPIA,MT,2
NOVA PRATA,RS,2
NOVA RUSSAS,CE,2
NOVA SERRANA,MG,2
NOVA XAVANTINA,MT,2
NOVO GAMA,GO,2
NOVO HORIZONTE,SP,2
NÃO-ME-TOQUE,RS,2
OLÍMPIA,SP,2
ORLEANS,SC,2
OSVALDO CRUZ,SP,2
OTACÍLIO COSTA,SC,2
OURO BRANCO,MG,2
OURO FINO,MG,2
PALMARES DO SUL,RS,2
PARANAPANEMA,SP,2
PARANAVAÍ,PR,2
PARANAÍBA,MS,2
PARATI,RJ,2
PARNAMIRIM,RN,2
PATROCÍNIO,MG,2
PATY DO ALFERES,RJ,2
PAULO AFONSO,BA,2
PAULÍNIA,SP,2
PEDERNEIRAS,SP,2
PENÁPOLIS,SP,2
PEREIRA BARRETO,SP,2
PETROLINA,PE,2
PIEDADE,SP,2
PINHALZINHO,SC,2
PIRACAIA,SP,2
PIRAJU,SP,2
PIRAJUÍ,SP,2
PIRASSUNUNGA,SP,2
PIÚMA,ES,2
PONTA PORÃ,MS,2
PORTO REAL,RJ,2
PRADÓPOLIS,SP,2
PRESIDENTE GETÚLIO,SC,2
PRESIDENTE MÉDICI,RO,2
PRESIDENTE VENCESLAU,SP,2
PROMISSÃO,SP,2
QUEIMADOS,RJ,2
RANCHARIA,SP,2
RAPOSA,MA,2
REALEZA,PR,2
RIBEIRÃO DAS NEVES,MG,2
RIO BRILHANTE,MS,2
RIO PARDO,RS,2
SACRAMENTO,MG,2
SANTA GERTRUDES,SP,2
SANTA HELENA,PR,2
SANTA ISABEL,SP,2
SANTA LUZIA,MG,2
SANTA TEREZINHA DE ITAIPU,PR,2
SANTO AMARO DA IMPERATRIZ,SC,2
SANTO ANASTÁCIO,SP,2
SANTO ANTÔNIO DA PLATINA,PR,2
SANTO ANTÔNIO DO DESCOBERTO,GO,2
SANTO CRISANTO,RS,2
SAPUCAIA,RJ,2
SEROPÉDICA,RJ,2
SOCORRO,SP,2
SÃO FIDÉLIS,RJ,2
SÃO FRANCISCO DE PAULA,RS,2
SÃO GABRIEL DO OESTE,MS,2
SÃO GONÇALO DOS CAMPOS,BA,2
SÃO JOAQUIM DA BARRA,SP,2
SÃO JOÃO BATISTA,SC,2
SÃO JOÃO DO OESTE,SC,2
SÃO JOÃO NEPOMUCENO,MG,2
SÃO LOURENÇO,MG,2
SÃO LOURENÇO DO OESTE,SC,2
SÃO LUDGERO,SC,2
SÃO MANUEL,SP,2
SÃO MIGUEL DO GUAPORÉ,RO,2
SÃO PEDRO DA ALDEIA,RJ,2
SÃO ROQUE,SP,2
SÃO SEBASTIÃO,SP,2
SÃO SEBASTIÃO DO CAÍ,RS,2
SÃO SIMÃO,GO,2
TAIOBEIRAS,MG,2
TAQUARA,RS,2
TIETÊ,SP,2
TIJUCAS,SC,2
TRÊS CORAÇÕES,MG,2
TRÊS DE MAIO,RS,2
TRÊS MARIAS,MG,2
URUAÇU,GO,2
URUSSANGA,SC,2
VENÂNCIO AIRES,RS,2
VERA CRUZ,RS,2
VESPASIANO,MG,2
VOTUPORANGA,SP,2
VÁRZEA PAULISTA,SP,2
ÁGUAS LINDAS DE GOIÁS,GO,2
ABAETÉ,MG,1
ABRE CAMPO,MG,1
ACOPIARA,CE,1
AFONSO CLÁUDIO,ES,1
AGUDOS,SP,1
ALEXÂNIA,GO,1
ALFENAS,MG,1
ALTAMIRA,PA,1
ALTINÓPOLIS,SP,1
ALVORADA D`OESTE,RO,1
ANGATUBA,SP,1
ANITA GARIBALDI,SC,1
ANTONINA,PR,1
ANTONIO PRADO,RS,1
APARECIDA,SP,1
APIAÍ,SP,1
ARACI,BA,1
ARACRUZ,ES,1
ARAGARÇAS,GO,1
ARAGUATINS,TO,1
ARAGUAÍNA,TO,1
ARAL MOREIRA,MS,1
ARAQUARI,SC,1
ARARUNA,PB,1
ARCOVERDE,PE,1
ARMAZÉM,SC,1
ASCURRA,SC,1
ASSAÍ,PR,1
ATALAIA DO NORTE,AM,1
AUGUSTINÓPOLIS,TO,1
AÇAILÂNDIA,MA,1
AÇU,RN,1
BACABAL,MA,1
BAIXO GUANDU,ES,1
BALNEÁRIO ARROIO DO SILVA,SC,1
BALNEÁRIO GAIVOTA,SC,1
BALNEÁRIO RINCÃO,SC,1
BALSAS,MA,1
BARBALHA,CE,1
BARIRI,SP,1
BARRA BONITA,SP,1
BARRA DO RIBEIRO,RS,1
BARRA FUNDA,RS,1
BARRA VELHA,SC,1
BARRACÃO,PR,1
BATATAIS,SP,1
BELA VISTA,MS,1
BELA VISTA DE GOIÁS,GO,1
BELA VISTA DO PARAÍSO,PR,1
BELFORD ROXO,RJ,1
BELO JARDIM,PE,1
BIGUAÇÚ,SC,1
BIRITIBA-MIRIM,SP,1
BITURUNA,PR,1
BOM JARDIM,RJ,1
BOM JESUS DO ITABAPOANA,RJ,1
BOM PRINCÍPIO,RS,1
BRAGANÇA,PA,1
BRASNORTE,MT,1
BREJO SANTO,CE,1
BRUMADO,BA,1
BUTIÁ,RS,1
CABECEIRAS,GO,1
CACHOEIRA PAULISTA,SP,1
CAIAPÔNIA,GO,1
CAICÓ,RN,1
CAJAMAR,SP,1
CAJATI,SP,1
CAMACAN,BA,1
CAMBORIÚ,SC,1
CAMPANHA,MG,1
CAMPO MAIOR,PI,1
CAMPO NOVO DO PARECIS,MT,1
CAMPO VERDE,MT,1
CAMPOS DE JORDÃO,SP,1
CAMPOS DO JORDÃO,SP,1
CANARANA,MT,1
CANAVIEIRAS,BA,1
CANAÃ DOS CARAJÁS,PA,1
CANTAGALO,RJ,1
CAPANEMA,PR,1
CAPELA DE SANTANA,RS,1
CAPINÓPOLIS,MG,1
CARDOSO,SP,1
CARINHANHA,BA,1
CAROLINA,MA,1
CASCA,RS,1
CASTILHO,SP,1
CERRO AZUL,PR,1
CERRO GRANDE DO SUL,RS,1
CERRO LARGO,RS,1
CESÁRIO LANGE,SP,1
CHAPADA,RS,1
CHOPINZINHO,PR,1
CHOROZINHO,CE,1
CIDREIRA,RS,1
COCALZINHO DE GOIÁS,GO,1
COLORADO,RS,1
COLÔMBIA,SP,1
COMODORO,MT,1
CONCEIÇÃO,PB,1
CONCEIÇÃO DA BARRA,ES,1
CONCEIÇÃO DE MACABU,RJ,1
CONCEIÇÃO DO COITÉ,BA,1
CONCEIÇÃO DO MATO DENTRO,MG,1
CONCHAL,SP,1
CONDEÚBA,BA,1
CONGONHAS,MG,1
CONSTANTINA,RS,1
CORDEIRÓPOLIS,SP,1
COROMANDEL,MG,1
CORONEL FREITAS,SC,1
CORREIA PINTO,SC,1
CORUPÁ,SC,1
COSMÓPOLIS,SP,1
CRATEÚS,CE,1
CRATO,CE,1
CRAVINHOS,SP,1
CRISTALINA,GO,1
CRIXÁS,GO,1
CRUZ DAS ALMAS,BA,1
CRUZ MACHADO,PR,1
CRUZEIRO,SP,1
CURVELO,MG,1
DIAMANTINO,MT,1
DOIS VIZINHOS,PR,1
ECOPORANGA,ES,1
ELIAS FAUSANTO,SP,1
EMBU-GUAÇU,SP,1
ENGENHEIRO COELHO,SP,1
ERVÁLIA,MG,1
ESPERA FELIZ,MG,1
ESPIGÃO D`OESTE,RO,1
ESPUMOSO,RS,1
ESTANCIA VELHA,RS,1
EUCLIDES DA CUNHA,BA,1
FAXINAL,PR,1
FAXINAL DO SOTURNO,RS,1
FAZENDA RIO GRANDE,PR,1
FLORIANO,PI,1
FORMOSO,GO,1
FRAIBURGO,SC,1
FÁTIMA DO SUL,MS,1
GAROPABA,SC,1
GENERAL CARNEIRO,PR,1
GETULIO VARGAS,RS,1
GIRUÁ,RS,1
GLORINHA,RS,1
GOVERNADOR CELSO RAMOS,SC,1
GRAMADO XAVIER,RS,1
GUAJARÁ-MIRIM,RO,1
GUARANI DAS MISSÕES,RS,1
GUARANÉSIA,MG,1
GUARIBA,SP,1
GUAÇUÍ,ES,1
HERVAL D´OESTE,SC,1
HOLAMBRA,SP,1
HORTOLÂNDIA,SP,1
IBATÉ,SP,1
IBIPORÃ,PR,1
IBIRAMA,SC,1
IBIRITÉ,MG,1
IBIÁ,MG,1
IGARAPÉ,MG,1
IGARATÁ,SP,1
IGUAPE,SP,1
IGUATU,CE,1
IJUI,RS,1
ILHABELA,SP,1
IMBÉ,RS,1
INHUMAS,GO,1
IPERÓ,SP,1
IPIAÚ,BA,1
IPORÁ,GO,1
IRANDUBA,AM,1
IRAUÇUBA,CE,1
ITABAIANA,SE,1
ITABERABA,BA,1
ITABERÁ,SP,1
ITAMBÉ,BA,1
ITANHÉM,BA,1
ITAOCARA,RJ,1
ITAPECERICA DA SERRA,SP,1
ITAPIPOCA,CE,1
ITAPORANGA,SP,1
ITAQUI,RS,1
ITAQUIRAÍ,MS,1
ITARARÉ,SP,1
ITATIAIA,RJ,1
ITATINGA,SP,1
ITAÍ,SP,1
ITÁ,SC,1
ITÁPOLIS,SP,1
IVAIPORÃ,PR,1
IÚNA,ES,1
JABOATÃO DOS GUARARAPES,PE,1
JACOBINA,BA,1
JACUTINGA,MG,1
JAGUARI,RS,1
JAGUARIAÍVA,PR,1
JARAGUÁ,GO,1
JARDIM,MS,1
JARI,RS,1
JI-PARANÁ,RO,1
JOÃO LISBOA,MA,1
JUATUBA,MG,1
JUÍNA,MT,1
LAGARTO,SE,1
LAGOA SANTA,MG,1
LAGOA VERMELHA,RS,1
LAURO DE FREITAS,BA,1
LAURO MULLER,SC,1
LENÇÓIS PAULISTA,SP,1
LIMA DUARTE,MG,1
LOUVEIRA,SP,1
MACAPA,AP,1
MACATUBA,SP,1
MACHADO,MG,1
MAIRINQUE,SP,1
MANDAGUARI,PR,1
MARACAJU,MS,1
MARATAÍZES,ES,1
