cidade_01,nome,id.x,meio,regiao_metropolitana.x,uf.x,estado01,regiao01,pais.x,fonte,name,about,category,description,general_info,likes,link,city,state,country,latitude,longitude,talking_about_count,username,website,,
SÃO PAULO,A CIDADE DE SÃO PAULO,id4661,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,A mídia exterior na cidade de São Paulo,"A história da publicidade exterior na cidade de São Paulo, levando em conta os momentos distintos do desenvolvimento da cidade até a ""lei cidade limpa""",Book,NA,NA,106,https://www.facebook.com/midiaexterioremsp/,NA,NA,NA,NA,NA,0,midiaexterioremsp,http://about.me/sergiorizo,,
CORNÉLIO PROCÓPIO,A CIDADE REGIONAL,id1674,Jornal,n/d,PR,Paraná,S,Brasil,Secom/PR,Jornal A Cidade Regional,O Jornal da Região de Cornélio Procópio,Media/News Company,NA,NA,1046,https://www.facebook.com/JornalACidadeRegional/,NA,NA,NA,NA,NA,7,JornalACidadeRegional,http://www.jornalacidaderegional.com.br,,
AVARÉ,A COMARCA REGIONAL,id3996,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,A Comarca Portal Regional,NA,Magazine,NA,NA,1,https://www.facebook.com/acomarcaportalregional/,NA,NA,NA,NA,NA,0,acomarcaportalregional,NA,,
CAMPO GRANDE,A CRITICA,id1219,Jornal,n/d,MS,Mato Grosso do Sul,CO,Brasil,Secom/PR,Portal A Critica,"O portal de notícias de A Crítica - Sempre conectado para manter você bem informado!

Redação: (92) 3643-1263 / 3643-1267 / 3643-1288",Newspaper,NA,NA,429222,https://www.facebook.com/ACriticaCom/,Manaus,AM,Brazil,-3.0948653,-59.9903695,65621,ACriticaCom,www.acritica.com,,
MANAUS,A CRÍTICA,id5884,Jornal,n/d,AM,Amazonas,N,Brasil,Atlas da NotÃ­cia,A CRÍTICA ONLINE,"NÃO SAIA DE CASA SEM ANTES LER: 
http://acriticaonline.com/

",News & Media Website,TRANSFORMANDO O ORDINÁRIO EM EXTRAORDINÁRIO!,NA,1300,https://www.facebook.com/acriticaonline.mirodesouza/,NA,NA,NA,NA,NA,44,acriticaonline.mirodesouza,http://acriticaonline.com/novo/,,
CUIABÁ,A CRONICA,id1356,Jornal,n/d,MT,Mato Grosso,CO,Brasil,Secom/PR,As Crónicas de Nárnia: A Viagem do Caminheiro da Alvorada,NA,Book,"The Chronicles of Narnia: The Voyage of the Dawn Treader é um filme britânico-americano de 2010, dirigido por Michael Apted. Terceiro da série As Crônicas de Nárnia, produzido pela Walden Media e pela 20th Century Fox baseado no livro A Viagem do Peregrino da Alvorada escrito em 1952 pelo escritor irlandês C.S. Lewis. Pertence aos gêneros aventura e fantasia. 20th Century Fox anunciou em 23 de março de 2010 que o filme seria convertido em 3-D. Foi a 12ª maior bilheteria de 2010 alcançando 415 milhões de dólares, sendo o filme de maior bilheteria para a sua distribuidora, a 20th century fox.O filme foi indicado ao Globo de Ouro de melhor canção original, perdendo para Diane Warren em Burlesque.É o primeiro filme da saga totalmente lançado em 3D. O filme é precedido por The Lion, the Witch and the Wardrobe de 2005 e Prince Caspian de 2008. O próximo filme a ser lançado será The Silver Chair, que segue os acontecimentos narrados em A Viagem do Peregrino da Alvorada.",NA,48960,https://www.facebook.com/pages/As-Cr%C3%B3nicas-de-N%C3%A1rnia-A-Viagem-do-Caminheiro-da-Alvorada/147272931996520,NA,NA,NA,NA,NA,0,NA,http://www.narnia.com,,
ARROIO GRANDE,A EVOLUÇAO,id2467,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Secom/PR,R&A EVOLUÇAO,NA,Retail Company,NA,NA,34,https://www.facebook.com/RA-EVOLUÇAO-692527127603338/,NA,NA,NA,NA,NA,7,NA,NA,,
ARROIO GRANDE,A EVOLUÇÃO REGIONAL,id5160,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Sistema Evoluçao De Comunicaçaoes a Revoluçao Da Comunicaçao Regional,NA,Information Technology Company,NA,NA,46,https://www.facebook.com/websistemanew/,Pôrto Feliz,SP,Brazil,-23.2330071,-47.5267573,2,websistemanew,NA,,
ITU,A FEDERAÇAO,id4240,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Federação de Esportes a Remo do Nordeste,NA,Professional Sports Team,NA,NA,82,https://www.facebook.com/Federação-de-Esportes-a-Remo-do-Nordeste-1678426902207514/,NA,NA,NA,NA,NA,5,NA,NA,,
ALVORADA,A FOLHA,id2464,Jornal,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,Secom/PR,A Folha,NA,Media/News Company,NA,NA,7975,https://www.facebook.com/afolhars/,Sananduva,RS,Brazil,-27.9530943,-51.7974176,1628,afolhars,www.afolhars.com.br,,
ARARUAMA,A FOLHA DA REGIAO,id1998,Jornal,n/d,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,A Folha da Região,www.afolhadaregiao.com.br,Company,NA,NA,120,https://www.facebook.com/A-Folha-da-Região-126859007493990/,NA,NA,NA,NA,NA,1,NA,NA,,
SÃO GABRIEL DA PALHA,A FOLHA DE SAO GABRIEL,id482,Jornal,n/d,ES,Espírito Santo,SE,Brasil,Secom/PR,A Folha De São Gabriel,assuntos relacionados o dia a dia de nossa cidade e região,Media/News Company,NA,NA,426,https://www.facebook.com/jornalafolhadesaogabriel/,NA,NA,NA,NA,NA,0,jornalafolhadesaogabriel,NA,,
GOIANÉSIA,A FOLHA DO VALE,id606,Jornal,n/d,GO,Goiás,CO,Brasil,Secom/PR,A Folha do Vale,"Promove notícias e informações que inspiram a criação de uma sociedade justa, participativa e compromissada com o desenvolvimento.",Community,"Jornal A Folha do Vale

Este trabalho é realizado com o intuito de registrar o desenvolvimento de nossa região, e o entusiasmo das pessoas que residem no Vale do Arinos e Juruena e se esforçam em seu dia a dia proporcionando o progresso de nossa região.       Agradecemos a todas as pessoas que estão envolvidas direta e indiretamente na idealização deste importante trabalho, e obviamente aqui estão nossos agradecimentos especiais a você prezado leitor que torna este trabalho especialmente gratificante.

",NA,1634,https://www.facebook.com/afolhadovale.com.br/,Juara,MT,Brazil,NA,NA,84,afolhadovale.com.br,http://www.a-folhadovale.com,,
GETÚLIO VARGAS,A FOLHA REGIONAL,id5231,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,A Folha Regional,O maior semanário da região Norte do RS.,News & Media Website,"O jornal A Folha Regional foi fundado no dia 12 de novembro de 1999 e hoje é o maior semanário da região Norte do RS. Uma das principais preocupações da
empresa jornalística é fazer com que os clientes sintam-se satisfeitos com os serviços por ela oferecidos. 

O assinante e o anunciante do Jornal é o que faz a empresa crescer estando há 13 anos a fazer parte do dia-a-dia de Getúlio Vargas e região. Dentre um dos fatores importantes das normas comerciais da empresa está a credibilidade e a seriedade dos colaboradores que vendem publicidade e assinatura para o Jornal.

Um aspecto chave é o respeito quanto as tabelas de preços da empresa.

Um dos mais tradicionais veículos de comunicação do interior do Estado, acompanha a evolução tecnológica empregada nos grandes jornais sendo impresso em rotativa off-set no parque gráfico do Diário Serrano. Primeiro jornal do Alto Uruguai a disponibilizar parte do seu conteúdo na internet. O blog afolharegional-afolharegional.blogspot é consultado por uma média de quinze mil internautas. 

A Folha Regional é um meio que prima pela divulgação ética e séria das informações, tendo papel de destaque para sua comunidade. Com uma tiragem crescente - sendo 90% distribuído em forma de assinaturas e 7% vendido em bancas de jornais e revistas -, é um jornal essencialmente comunitário, defendendo assuntos de interesse dos municípios de Getúlio Vargas, Estação, Erebango, Ipiranga do Sul, Sertão, Charrua, Floriano Peixoto, Tapejara, Jacutinga e Quatro Irmãos. Circula também nas cidades de Erechim, Gaurama e Marceliino Ramos. A entrega para getulienses que residem em outras cidades do RS e outros Estados é feita pelos Correios.",NA,3592,https://www.facebook.com/afolharegional/,Getúlio Vargas,SP,Brazil,NA,NA,136,afolharegional,http://afolharegional-afolharegional.blogspot.com/ ,,
SÃO SEPÉ,A FONTE,id5327,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,Blog A Fonte,"Últimas notícias, vídeos, esportes, entretenimento e muito mais você encontra aqui!",Media/News Company,NA,NA,4232,https://www.facebook.com/blogafonte/,Jardim do Seridó,RN,Brazil,NA,NA,1436,blogafonte,agenciaafonte.com.br,,
FLORIANÓPOLIS,A FONTE CATARINENSE,id2985,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,Jornal A Fonte Catarinense Ltda ME,NA,Business Service,NA,NA,14,https://www.facebook.com/pages/Jornal-A-Fonte-Catarinense-Ltda-ME/531004330434236,Florianópolis,SC,Brazil,-27.607765,-48.578516,0,NA,NA,,
SÃO PAULO,A GALINHA DOS OVOS DE OURO,id3913,Online,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,A Galinha dos Ovos de Ouro,Site para divertir as crianças com danças e músicas de uma forma inteligente.Os vídeos são baseados coreografias originais.,Fictional Character,"Vídeos para divertir as crianças com danças e músicas de uma forma inteligente.
Os nossos vídeo clips são produzidos baseados em uma coreografia original para cada música.
A nossa proposta é sempre que possível incorporar um personagem conhecido da nossa cultura. O mais importante é que esses personagens homenageados estejam vinculados com a arte do cinema, da dança, música, pintura ou teatro, e de certa forma que eles estejam inseridos na mídia.",NA,263,https://www.facebook.com/GalinhaOvosOuro/,NA,NA,NA,NA,NA,0,GalinhaOvosOuro,http://www.agoo.tv/,,
ALÉM PARAÍBA,A GAZETA,id809,Jornal,n/d,MG,Minas Gerais,SE,Brasil,Secom/PR,A Gazeta,"Jornal A Gazeta, São Bento do Sul (SC). Empresa jornalística com atuação em cidades do Planalto Norte Catarinense.",Newspaper,"Fale com AG:

Fotos para Cotidiano devem ser enviadas por e-mail, para atendimento@gazetasbs.com.br ou para o WhatsApp 9658-0295.

Informações sobre classificados, o endereço é classificados@gazetasbs.com.br

Para tratar sobre assinaturas, o e-mail é o assinaturas@gazetasbs.com.br

Conteúdos jornalísticos - críticas ou sugestões de reportagem - através do telefone: (47) 3203-0022 ou WhatsApp 9933-0800.",NA,33217,https://www.facebook.com/gazetasbs/,São Bento do Sul,SC,Brazil,-26.25072,-49.3818,3510,gazetasbs,http://www.gazetasbs.com.br,,
BLUMENAU,A GAZETA CATARINENSE,id5381,Jornal,n/d,SC,Santa Catarina,S,Brasil,Adjori-Sc,A Gazeta Catarinense,Informativo da Cidade de Blumenau e região,Media/News Company,NA,NA,314,https://www.facebook.com/agazetacatarinense/,NA,NA,NA,NA,NA,2,agazetacatarinense,http://www.agazetacatarinense.com.br,,
NOVO HORIZONTE,A GAZETA DA TARDE,id4345,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Rádio AGazeta da Tarde,A voz jovem do esporte amazonense,Sport,NA,NA,7569,https://www.facebook.com/agazetadatarde/,NA,NA,NA,NA,NA,2052,agazetadatarde,http://www.agazetadatarde.com,,
SÃO PAULO,A GAZETA DA ZONA NORTE,id4569,Jornal,RM SÃ£o Paulo,SP,São Paulo,SE,Brasil,Secom/PR,A Gazeta da Zona Norte,NA,Book & Magazine Distributor,NA,NA,3,https://www.facebook.com/pages/A-Gazeta-da-Zona-Norte/997496460341788,São Paulo,SP,Brazil,-23.500281,-46.627957,0,NA,http://www.gazetazn.com.br,,
TREMEMBÉ,A GAZETA DOS MUNICIPIOS,id4700,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,AGazeta DosMunicipios,NA,Personal Blog,NA,NA,377,https://www.facebook.com/AGazeta-DosMunicipios-1945158432407896/,NA,NA,NA,NA,NA,0,NA,NA,,
TRÊS BARRAS,A GAZETA TRESBARRENSE,id5507,Jornal,n/d,SC,Santa Catarina,S,Brasil,Adjori-Sc,A Gazeta Tresbarrense,Página do Jornal A GAZETA TRESBARRENSE,Media/News Company,NA,NA,1175,https://www.facebook.com/agazetatresbarrense/,NA,NA,NA,NA,NA,4,agazetatresbarrense,NA,,
CRICIÚMA,A HORA DO SUL,id5705,Jornal,n/d,SC,Santa Catarina,S,Brasil,Central de DiÃ¡rios,A hora do peixe,"temos porção de tilápia.
iscas premium (frita)
iscas filé( grelhado)
porção de piava (frita)
acompanha polenta salada, mista,pão e molhos.",Food & Beverage,NA,NA,576,https://www.facebook.com/A-hora-do-peixe-555781737851515/,Ijuhy,RS,Brazil,-28.3965629,-53.9228294,0,NA,NA,,
PINHEIROS,A IMPRENSA,id477,Jornal,n/d,ES,Espírito Santo,SE,Brasil,Secom/PR,A IMPRENSA,A IMPRENSA,Media/News Company,NA,NA,157,https://www.facebook.com/aimprensa.es/,Pinheiros - ES - Brasil,NA,NA,NA,NA,2,aimprensa.es,http://www.aimprensaonline.com.br,,
HORIZONTINA,A INTEGRAÇAO,id2564,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Secom/PR,Autonomia para a integração,"Prezados servidores e estudantes, em 27 de abril vamos escolher os novos reitor e vice-reitor da UTFPR. Vote SCHIEFLER e JEAN-MARC. Vote CHAPA 1.
",Community,"AUTONOMIA PARA A INTEGRAÇÃO: ""Os campi precisam de mais autonomia e a universidade precisa de maior integração"". Vote CHAPA 1 em 27 de abril.",NA,875,https://www.facebook.com/autonomiaparaaintegracao/,Curitiba,PR,Brazil,NA,NA,0,autonomiaparaaintegracao,http://www.autonomiaparaaintegracao.com.br,,
PALMEIRA DAS MISSÕES,A MADRUGADA,id2601,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Secom/PR,A Madrugada,NA,Art,NA,NA,100,https://www.facebook.com/A-Madrugada-224569321324958/,NA,NA,NA,NA,NA,8,NA,NA,,
MOCOCA,A MOCOCA,id4312,Jornal,n/d,SP,São Paulo,SE,Brasil,Secom/PR,Mococa A.R,"Internet Banda Larga e Fibra Óptica - MOCOCA E REGIÃO!

Consulte nossa disponibilidade :)",Telecommunication Company,NA,NA,564,https://www.facebook.com/internetartelecom/,Mococa,SP,Brazil,-21.4706666,-47.0007014,5,internetartelecom,http://www.artelecom.com.br/,,
CAMPOS DOS GOYTACAZES,A NOTICIA,id2031,Jornal,n/d,RJ,Rio de Janeiro,SE,Brasil,Secom/PR,A NOTICIA,"Levamos até você o melhor do jornalismo, com conteúdo e muita criatividade.",Media/News Company,"O jornal A Notícia tem circulação em Muriaé e em 17 cidades de toda a região, como Miradouro, São Francisco do Glória, Vieiras, Barão do Monte Alto, Patrocínio do Muriaé, Laranjal, Eugenópolis, São Sebastião da Vargem Alegre, Rosário da Limeira, Cataguases, Leopoldina, Ervália entre outras.
Temos o objetivo de fazer um trabalho diferenciado, buscando o máximo de informações, ganhando assim maior credibilidade do público, e conseqüentemente resultados positivos para você, anunciante. 
",NA,3687,https://www.facebook.com/a.noticiamuriae/,Muriaé,MG,Brazil,-21.1321042,-42.3698893,147,a.noticiamuriae,http://www.anoticiaonline.com.br,,
JOÃO MONLEVADE,A NOTÍCIA,id4869,Jornal,n/d,MG,Minas Gerais,SE,Brasil,Atlas da NotÃ­cia,A Notícia,"A Notícia é um jornal de Joinville (SC). Reportagens: an.com@an.com.br, (47) 3419-2000 ou pelo Whatsapp (47) 9233-8499. Assinaturas: (47) 3419-2020. ",Media/News Company,"O Jornal A Notícia é um veículo do Grupo RBS. Produzido em Joinville, o jornal tem como foco a região Norte de Santa Catarina. ",NA,425175,https://www.facebook.com/anoticia/,Joinville,SC,Brazil,-26.31446,-48.8599,20856,anoticia,www.an.com.br,,
CAMPO LARGO,A NOTICIA DE CAMPO LARGO,id1651,Jornal,RM Curitiba,PR,Paraná,S,Brasil,Secom/PR,Editora a Noticia de Campo Largo,NA,Local Business,NA,NA,45,https://www.facebook.com/pages/Editora-a-Noticia-de-Campo-Largo/1097689923609112,Campo Largo,PR,Brazil,-25.4580615,-49.5300824,0,NA,NA,,
NOVA RUSSAS,A NOTÍCIA DO CEARÁ,id219,Jornal,n/d,CE,Ceará,NE,Brasil,Secom/PR,A Notícia do Ceará,Fique por dentro dos fatos mais importantes do dia. Este é um espaço em que você pode expressar sua opinião. Faça parte da conversa.,Media/News Company,NA,NA,2800,https://www.facebook.com/anoticiadoceara.com.br/,Nova Russas,CE,Brazil,NA,NA,26,anoticiadoceara.com.br,http://www.anoticiadoceara.com.br/,,
JUAZEIRO,A NOTICIA DO VALE,id148,Jornal,n/d,BA,Bahia,NE,Brasil,Secom/PR,ANoticia Do Vale,NA,Local Business,NA,NA,3010,https://www.facebook.com/ANoticia-Do-Vale-1696408440599739/,NA,NA,NA,NA,NA,4,NA,http://www.anoticiadovale.com,,
PATO BRANCO,A NOTICIA NO SUDOESTE,id5514,Jornal,n/d,PR,Paraná,S,Brasil,Adjori-Pr,"Editora, Jornal e Grafica a Noticia no Sudoeste",NA,Local Business,NA,NA,38,https://www.facebook.com/pages/Editora-Jornal-e-Grafica-a-Noticia-no-Sudoeste/1504510596525377,Pato Branco,PR,Brazil,-26.2215632,-52.6733331,0,NA,NA,,
MURIAÉ,A NOTICIA REGIONAL,id1029,Jornal,n/d,MG,Minas Gerais,SE,Brasil,Secom/PR,A Notícia Regional,NA,Local Business,NA,NA,0,https://www.facebook.com/pages/A-Not%C3%ADcia-Regional/1934097196853969,NA,NA,NA,NA,NA,0,NA,NA,,
SAPIRANGA,A OPINIAO,id2713,Jornal,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,Secom/PR,"A Onde A Sua Opinião, Não Vale Nada Para Mim",NA,Just For Fun,NA,NA,0,https://www.facebook.com/pages/A-Onde-A-Sua-Opini%C3%A3o-N%C3%A3o-Vale-Nada-Para-Mim/117958492261319,Andradina,SP,Brazil,-20.9052191,-51.3470876,0,NA,NA,,
CRICIÚMA,A PALAVRA,id2970,Jornal,n/d,SC,Santa Catarina,S,Brasil,Secom/PR,A Palavra,PÁGINA CRIADA PARA A SUA EDIFICAÇÃO. ,Personal Website,"Mensagens da Palavra de Deus para a sua edificação em vídeo, texto e áudio.",NA,6154,https://www.facebook.com/Palavra.PGD/,NA,NA,NA,NA,NA,513,Palavra.PGD,http://www.a-palavra.org,,
NOVA PETRÓPOLIS,A PONTE,id5273,Jornal,n/d,RS,Rio Grande do Sul,S,Brasil,Adjori-Rs,A Ponte,"CULTOS AOS DOMINGOS: 10h, 17h e 19h.

Somos A Ponte. Temos o evangelho de Cristo como plataforma e 3 arcos: relacionamento, serviço e cultura. Bem-vindo!",Religious Organization,NA,NA,14240,https://www.facebook.com/somosaponte/,Recife,PE,Brazil,-8.056769491,-34.87202672,408,somosaponte,http://www.somosaponte.com,,
