cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SANTA CRUZ DO SUL,431680.0,4316808.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169.0,1036.87,0.619,0.773,0.693,0.852,0.782
TORRES,432150.0,4321501.0,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,34446.0,853.62,0.584,0.762,0.685,0.862,0.75
NOVA ANDRADINA,500620.0,5006200.0,6,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,44985.0,688.15,0.496,0.721,0.616,0.85,0.716
TRÊS LAGOAS,500830.0,5008305.0,6,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,101171.0,863.66,0.579,0.744,0.645,0.849,0.752
ALTA FLORESTA,510025.0,5100250.0,6,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,48593.0,660.84,0.496,0.714,0.629,0.817,0.709
VÁRZEA GRANDE,510840.0,5108402.0,6,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,251845.0,668.86,0.604,0.734,0.661,0.842,0.711
CALDAS NOVAS,520450.0,5204508.0,6,n/d,GO,Goiás,Centro-Oeste,Brasil,69852.0,794.78,0.573,0.733,0.64,0.832,0.739
SENADOR CANEDO,522045.0,5220454.0,6,n/d,GO,Goiás,Centro-Oeste,Brasil,84279.0,537.58,0.538,0.701,0.617,0.827,0.676
ROLIM DE MOURA,110028.0,1100288.0,5,n/d,RO,Rondônia,Norte,Brasil,50379.0,657.65,0.474,0.7,0.598,0.808,0.709
VILHENA,110030.0,1100304.0,5,n/d,RO,Rondônia,Norte,Brasil,75614.0,768.98,0.554,0.731,0.659,0.808,0.734
PARAUAPEBAS,150553.0,1505536.0,5,n/d,PA,Pará,Norte,Brasil,153443.0,627.61,0.603,0.715,0.644,0.809,0.701
SANTARÉM,150680.0,1506807.0,5,n/d,PA,Pará,Norte,Brasil,293064.0,409.07,0.569,0.691,0.648,0.807,0.632
JEQUIÉ,291800.0,2918001.0,5,n/d,BA,Bahia,Nordeste,Brasil,150577.0,473.92,0.49,0.665,0.568,0.79,0.656
ARAXÁ,310400.0,3104007.0,5,n/d,MG,Minas Gerais,Sudeste,Brasil,93153.0,883.88,0.628,0.772,0.709,0.858,0.756
BETIM,310670.0,3106705.0,5,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,376682.0,660.56,0.587,0.749,0.687,0.864,0.709
VARGINHA,317070.0,3170701.0,5,n/d,MG,Minas Gerais,Sudeste,Brasil,122584.0,904.57,0.629,0.778,0.707,0.875,0.76
GUARAPARI,320240.0,3202405.0,5,n/d,ES,Espírito Santo,Sudeste,Brasil,104656.0,830.51,0.564,0.731,0.626,0.837,0.746
ANGRA DOS REIS,330010.0,3300100.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,168814.0,798.68,0.554,0.724,0.605,0.846,0.74
BARRA MANSA,330040.0,3300407.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,177326.0,705.1,0.582,0.729,0.657,0.819,0.72
CAMPOS DOS GOYTACAZES,330100.0,3301009.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,460592.0,682.59,0.555,0.716,0.619,0.83,0.715
MACAÉ,330240.0,3302403.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,206005.0,1103.42,0.678,0.764,0.681,0.828,0.792
MIGUEL PEREIRA,330290.0,3302908.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,24530.0,801.63,0.561,0.745,0.675,0.828,0.74
RESENDE,330420.0,3304201.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,119435.0,915.21,0.664,0.768,0.709,0.839,0.762
SANTO ANTÔNIO DE PÁDUA,330470.0,3304706.0,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40460.0,657.53,0.516,0.718,0.648,0.806,0.709
ARAÇATUBA,350280.0,3502804.0,5,n/d,SP,São Paulo,Sudeste,Brasil,180537.0,1036.09,0.643,0.788,0.744,0.841,0.782
ATIBAIA,350410.0,3504107.0,5,n/d,SP,São Paulo,Sudeste,Brasil,125501.0,1063.52,0.58,0.765,0.67,0.851,0.786
GUAÍRA,351740.0,3517406.0,5,n/d,SP,São Paulo,Sudeste,Brasil,37339.0,901.23,0.512,0.753,0.683,0.824,0.759
ITANHAÉM,352210.0,3522109.0,5,n/d,SP,São Paulo,Sudeste,Brasil,86728.0,690.67,0.589,0.745,0.701,0.823,0.716
ITAPETININGA,352230.0,3522307.0,5,n/d,SP,São Paulo,Sudeste,Brasil,140581.0,741.64,0.598,0.763,0.705,0.864,0.728
ITAPIRA,352260.0,3522604.0,5,n/d,SP,São Paulo,Sudeste,Brasil,67517.0,849.81,0.558,0.762,0.692,0.852,0.75
JACAREÍ,352440.0,3524402.0,5,n/d,SP,São Paulo,Sudeste,Brasil,210767.0,846.53,0.66,0.777,0.749,0.837,0.749
PINDAMONHANGABA,353800.0,3538006.0,5,n/d,SP,São Paulo,Sudeste,Brasil,146392.0,826.02,0.663,0.773,0.736,0.843,0.745
REGISTRO,354260.0,3542602.0,5,n/d,SP,São Paulo,Sudeste,Brasil,54129.0,699.41,0.572,0.754,0.702,0.851,0.718
CAMPO MOURÃO,410430.0,4104303.0,5,n/d,PR,Paraná,Sul,Brasil,86898.0,843.42,0.575,0.757,0.689,0.841,0.749
CIANORTE,410550.0,4105508.0,5,n/d,PR,Paraná,Sul,Brasil,69698.0,837.13,0.549,0.755,0.685,0.841,0.747
PATO BRANCO,411850.0,4118501.0,5,n/d,PR,Paraná,Sul,Brasil,71860.0,1013.22,0.627,0.782,0.728,0.845,0.778
CAPINZAL,420390.0,4203907.0,5,n/d,SC,Santa Catarina,Sul,Brasil,20648.0,811.66,0.518,0.752,0.659,0.869,0.742
NAVEGANTES,421130.0,4211306.0,5,n/d,SC,Santa Catarina,Sul,Brasil,60411.0,756.39,0.529,0.736,0.624,0.873,0.731
POMERODE,421320.0,4213203.0,5,n/d,SC,Santa Catarina,Sul,Brasil,27548.0,1022.91,0.558,0.78,0.687,0.886,0.78
SEARA,421750.0,4217501.0,5,n/d,SC,Santa Catarina,Sul,Brasil,16884.0,1188.18,0.505,0.779,0.674,0.872,0.804
SOMBRIO,421770.0,4217709.0,5,n/d,SC,Santa Catarina,Sul,Brasil,26590.0,746.69,0.475,0.728,0.617,0.858,0.729
TAIÓ,421780.0,4217808.0,5,n/d,SC,Santa Catarina,Sul,Brasil,17065.0,848.34,0.491,0.761,0.67,0.879,0.749
XANXERÊ,421950.0,4219507.0,5,n/d,SC,Santa Catarina,Sul,Brasil,43612.0,906.11,0.593,0.775,0.711,0.861,0.76
ARROIO GRANDE,430130.0,4301305.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,18364.0,528.13,0.409,0.657,0.522,0.807,0.673
CARAZINHO,430470.0,4304705.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,58825.0,881.73,0.621,0.766,0.707,0.84,0.756
ERECHIM,430700.0,4307005.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,95232.0,1038.39,0.629,0.776,0.716,0.833,0.782
ROSÁRIO DO SUL,431640.0,4316402.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,39469.0,643.97,0.483,0.699,0.576,0.841,0.705
SÃO GABRIEL,431830.0,4318309.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,59422.0,667.06,0.475,0.699,0.585,0.822,0.711
SAPIRANGA,431990.0,4319901.0,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,74784.0,713.99,0.46,0.711,0.598,0.832,0.722
URUGUAIANA,432240.0,4322400.0,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,124283.0,714.26,0.606,0.744,0.661,0.863,0.722
COXIM,500330.0,5003306.0,5,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,32041.0,703.01,0.45,0.703,0.579,0.836,0.719
CÁCERES,510250.0,5102504.0,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,87269.0,590.43,0.525,0.708,0.633,0.813,0.691
LUCAS DO RIO VERDE,510525.0,5105259.0,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,45306.0,938.65,0.624,0.768,0.71,0.833,0.766
SINOP,510790.0,5107909.0,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,112124.0,877.68,0.571,0.754,0.682,0.832,0.755
TANGARÁ DA SERRA,510795.0,5107958.0,5,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,82699.0,846.59,0.522,0.729,0.626,0.825,0.749
FORMOSA,520800.0,5208004.0,5,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,98932.0,732.24,0.561,0.744,0.666,0.852,0.726
GOIANÉSIA,520860.0,5208608.0,5,n/d,GO,Goiás,Centro-Oeste,Brasil,59125.0,701.38,0.472,0.727,0.636,0.84,0.719
ITUMBIARA,521150.0,5211503.0,5,n/d,GO,Goiás,Centro-Oeste,Brasil,92229.0,821.43,0.556,0.752,0.682,0.838,0.744
GURUPI,170950.0,1709500.0,4,n/d,TO,Tocantins,Norte,Brasil,76292.0,778.9,0.655,0.759,0.706,0.843,0.736
GARANHUNS,260600.0,2606002.0,4,n/d,PE,Pernambuco,Nordeste,Brasil,128786.0,492.44,0.466,0.664,0.556,0.795,0.662
BARREIRAS,290320.0,2903201.0,4,n/d,BA,Bahia,Nordeste,Brasil,136670.0,602.82,0.596,0.721,0.668,0.807,0.695
CANDEIAS,290650.0,2906501.0,4,RM Salvador,BA,Bahia,Nordeste,Brasil,82844.0,462.57,0.563,0.691,0.616,0.823,0.652
JUAZEIRO,291840.0,2918407.0,4,n/d,BA,Bahia,Nordeste,Brasil,197031.0,476.58,0.511,0.677,0.594,0.796,0.657
VITÓRIA DA CONQUISTA,293330.0,2933307.0,4,n/d,BA,Bahia,Nordeste,Brasil,304599.0,555.66,0.493,0.678,0.581,0.788,0.681
CAETÉ,311000.0,3110004.0,4,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,40470.0,586.16,0.538,0.728,0.663,0.844,0.69
FORMIGA,312610.0,3126109.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,64484.0,746.8,0.507,0.755,0.676,0.874,0.729
FRUTAL,312710.0,3127107.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,53170.0,752.01,0.487,0.73,0.615,0.865,0.73
GUAXUPÉ,312870.0,3128709.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,49148.0,746.7,0.524,0.751,0.659,0.88,0.729
ITUIUTABA,313420.0,3134202.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,96689.0,824.46,0.513,0.739,0.644,0.84,0.745
JOÃO MONLEVADE,313620.0,3136207.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,73350.0,724.4,0.592,0.758,0.708,0.849,0.724
OURO PRETO,314610.0,3146107.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,69836.0,710.55,0.584,0.741,0.677,0.834,0.721
SÃO JOÃO DEL REI,316250.0,3162500.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,83977.0,764.74,0.574,0.758,0.69,0.86,0.733
COLATINA,320150.0,3201506.0,4,n/d,ES,Espírito Santo,Sudeste,Brasil,110795.0,788.29,0.528,0.746,0.668,0.841,0.738
CASIMIRO DE ABREU,330130.0,3301306.0,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,35180.0,768.45,0.568,0.726,0.642,0.811,0.734
ITAGUAÍ,330200.0,3302007.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,108802.0,635.5,0.575,0.715,0.638,0.814,0.703
MAGÉ,330250.0,3302502.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,226225.0,567.59,0.545,0.709,0.626,0.832,0.685
NOVA FRIBURGO,330340.0,3303401.0,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,181153.0,894.75,0.55,0.745,0.645,0.846,0.758
PARAÍBA DO SUL,330370.0,3303708.0,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40927.0,613.56,0.527,0.702,0.61,0.812,0.697
RIO DAS OSTRAS,330452.0,3304524.0,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,104951.0,1051.19,0.665,0.773,0.689,0.854,0.784
SÃO JOÃO DE MERITI,330510.0,3305109.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,458238.0,597.57,0.614,0.719,0.646,0.831,0.693
SAQUAREMA,330550.0,3305505.0,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,73920.0,681.62,0.566,0.709,0.621,0.804,0.714
ADAMANTINA,350010.0,3500105.0,4,n/d,SP,São Paulo,Sudeste,Brasil,33490.0,975.43,0.608,0.79,0.75,0.852,0.772
AGUAÍ,350030.0,3500303.0,4,n/d,SP,São Paulo,Sudeste,Brasil,32089.0,636.07,0.467,0.715,0.606,0.858,0.703
AMERICANA,350160.0,3501608.0,4,n/d,SP,São Paulo,Sudeste,Brasil,209811.0,1161.68,0.651,0.811,0.76,0.876,0.8
AVARÉ,350450.0,3504503.0,4,n/d,SP,São Paulo,Sudeste,Brasil,80833.0,854.42,0.582,0.767,0.695,0.866,0.751
BEBEDOURO,350610.0,3506102.0,4,n/d,SP,São Paulo,Sudeste,Brasil,74728.0,881.64,0.594,0.78,0.735,0.853,0.756
CÂNDIDO MOTA,351000.0,3510005.0,4,n/d,SP,São Paulo,Sudeste,Brasil,29731.0,627.55,0.532,0.747,0.704,0.845,0.701
CAPIVARI,351040.0,3510401.0,4,n/d,SP,São Paulo,Sudeste,Brasil,47858.0,820.46,0.547,0.75,0.669,0.848,0.744
CARAGUATATUBA,351050.0,3510500.0,4,n/d,SP,São Paulo,Sudeste,Brasil,99908.0,773.99,0.609,0.759,0.705,0.845,0.735
CATANDUVA,351110.0,3511102.0,4,n/d,SP,São Paulo,Sudeste,Brasil,112210.0,945.05,0.611,0.785,0.74,0.853,0.767
DIADEMA,351380.0,3513801.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,385473.0,694.55,0.627,0.757,0.716,0.844,0.717
ITUVERAVA,352410.0,3524105.0,4,n/d,SP,São Paulo,Sudeste,Brasil,38583.0,950.39,0.573,0.765,0.694,0.841,0.768
JABOTICABAL,352430.0,3524303.0,4,n/d,SP,São Paulo,Sudeste,Brasil,70863.0,1015.51,0.597,0.778,0.71,0.851,0.778
LIMEIRA,352690.0,3526902.0,4,n/d,SP,São Paulo,Sudeste,Brasil,275032.0,910.85,0.61,0.775,0.719,0.852,0.761
MAUÁ,352940.0,3529401.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,415015.0,709.25,0.641,0.766,0.733,0.852,0.721
PARAGUAÇU PAULISTA,353550.0,3535507.0,4,n/d,SP,São Paulo,Sudeste,Brasil,40879.0,694.42,0.577,0.762,0.739,0.836,0.717
PERUÍBE,353760.0,3537602.0,4,n/d,SP,São Paulo,Sudeste,Brasil,59434.0,753.85,0.576,0.749,0.675,0.854,0.73
RIBEIRÃO PIRES,354330.0,3543303.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,112775.0,847.11,0.684,0.784,0.76,0.847,0.749
SALTO,354520.0,3545209.0,4,n/d,SP,São Paulo,Sudeste,Brasil,105198.0,876.67,0.632,0.78,0.751,0.837,0.755
SÃO JOÃO DA BOA VISTA,354910.0,3549102.0,4,n/d,SP,São Paulo,Sudeste,Brasil,83244.0,998.31,0.624,0.797,0.749,0.871,0.776
TATUÍ,355400.0,3554003.0,4,n/d,SP,São Paulo,Sudeste,Brasil,106912.0,771.05,0.57,0.752,0.688,0.842,0.734
TUPÃ,355500.0,3555000.0,4,n/d,SP,São Paulo,Sudeste,Brasil,62563.0,926.96,0.587,0.771,0.704,0.852,0.764
VALINHOS,355620.0,3556206.0,4,n/d,SP,São Paulo,Sudeste,Brasil,106411.0,1570.91,0.673,0.819,0.763,0.85,0.848
GOIOERÊ,410860.0,4108601.0,4,n/d,PR,Paraná,Sul,Brasil,28869.0,707.58,0.49,0.731,0.639,0.85,0.72
GUAÍRA,410880.0,4108809.0,4,n/d,PR,Paraná,Sul,Brasil,30447.0,795.84,0.482,0.724,0.615,0.836,0.739
IRATI,411070.0,4110706.0,4,n/d,PR,Paraná,Sul,Brasil,55969.0,685.81,0.476,0.726,0.64,0.835,0.715
LAPA,411320.0,4113205.0,4,RM Curitiba,PR,Paraná,Sul,Brasil,44798.0,608.6,0.448,0.706,0.595,0.848,0.696
MEDIANEIRA,411580.0,4115804.0,4,n/d,PR,Paraná,Sul,Brasil,41568.0,914.67,0.546,0.763,0.686,0.849,0.762
PALOTINA,411790.0,4117909.0,4,n/d,PR,Paraná,Sul,Brasil,28550.0,904.85,0.569,0.768,0.689,0.864,0.76
PINHAIS,411915.0,4119152.0,4,RM Curitiba,PR,Paraná,Sul,Brasil,116153.0,911.51,0.604,0.751,0.666,0.836,0.761
RIO BRANCO DO SUL,412220.0,4122206.0,4,RM Curitiba,PR,Paraná,Sul,Brasil,30647.0,548.8,0.414,0.679,0.545,0.847,0.679
TOLEDO,412770.0,4127700.0,4,n/d,PR,Paraná,Sul,Brasil,118908.0,876.72,0.586,0.768,0.702,0.855,0.755
UNIÃO DA VITÓRIA,412820.0,4128203.0,4,n/d,PR,Paraná,Sul,Brasil,52491.0,674.29,0.562,0.74,0.68,0.837,0.713
CAPIVARI DE BAIXO,420395.0,4203956.0,4,n/d,SC,Santa Catarina,Sul,Brasil,21618.0,723.04,0.615,0.767,0.716,0.87,0.724
IÇARA,420700.0,4207007.0,4,n/d,SC,Santa Catarina,Sul,Brasil,58666.0,759.54,0.511,0.741,0.645,0.861,0.732
ITUPORANGA,420850.0,4208500.0,4,n/d,SC,Santa Catarina,Sul,Brasil,22157.0,844.05,0.458,0.748,0.638,0.876,0.749
JAGUARUNA,420880.0,4208807.0,4,n/d,SC,Santa Catarina,Sul,Brasil,17280.0,701.05,0.446,0.721,0.628,0.83,0.719
PAPANDUVA,421220.0,4212205.0,4,n/d,SC,Santa Catarina,Sul,Brasil,17882.0,589.35,0.394,0.704,0.603,0.836,0.691
PORTO UNIÃO,421360.0,4213609.0,4,n/d,SC,Santa Catarina,Sul,Brasil,33342.0,864.41,0.593,0.786,0.724,0.891,0.752
SÃO FRANCISCO DO SUL,421620.0,4216206.0,4,n/d,SC,Santa Catarina,Sul,Brasil,42245.0,801.49,0.634,0.762,0.699,0.856,0.74
SÃO JOAQUIM,421650.0,4216503.0,4,n/d,SC,Santa Catarina,Sul,Brasil,24778.0,641.75,0.457,0.687,0.562,0.817,0.705
ALEGRETE,430040.0,4300406.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,76994.0,705.29,0.567,0.74,0.664,0.849,0.72
CAÇAPAVA DO SUL,430280.0,4302808.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,33339.0,618.98,0.456,0.704,0.585,0.855,0.699
CACHOEIRA DO SUL,430300.0,4303004.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,83072.0,793.67,0.539,0.742,0.648,0.854,0.739
CANELA,430440.0,4304408.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,38874.0,787.78,0.562,0.748,0.667,0.849,0.738
CAPÃO DA CANOA,430463.0,4304630.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,41830.0,884.47,0.585,0.743,0.637,0.852,0.756
ENCANTADO,430680.0,4306809.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,20415.0,931.47,0.542,0.767,0.687,0.858,0.764
ESTÂNCIA VELHA,430760.0,4307609.0,4,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,42455.0,848.45,0.543,0.757,0.652,0.887,0.749
FLORES DA CUNHA,430820.0,4308201.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,27005.0,1062.06,0.519,0.754,0.642,0.849,0.786
FREDERICO WESTPHALEN,430850.0,4308508.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,28568.0,875.03,0.55,0.76,0.688,0.846,0.754
HORIZONTINA,430960.0,4309605.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,18290.0,1037.04,0.587,0.783,0.716,0.858,0.782
IBIRUBÁ,431000.0,4310009.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,19187.0,1062.3,0.511,0.765,0.671,0.848,0.786
IVOTI,431080.0,4310801.0,4,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,19764.0,1025.02,0.606,0.784,0.729,0.848,0.78
NOVA PETRÓPOLIS,431320.0,4313201.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,18852.0,994.67,0.522,0.78,0.688,0.89,0.775
OSÓRIO,431350.0,4313508.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,40807.0,957.94,0.567,0.751,0.646,0.853,0.769
PANAMBI,431390.0,4313904.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,37837.0,864.44,0.574,0.761,0.691,0.848,0.752
RESTINGA SECA,431550.0,4315503.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,15743.0,660.14,0.419,0.683,0.542,0.828,0.709
SANTO ÂNGELO,431750.0,4317509.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,75626.0,936.27,0.58,0.772,0.696,0.863,0.765
SÃO PEDRO DO SUL,431940.0,4319406.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,16314.0,614.89,0.447,0.709,0.619,0.824,0.698
SÃO SEPÉ,431960.0,4319604.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,23625.0,656.77,0.43,0.708,0.576,0.871,0.708
TRAMANDAÍ,432160.0,4321600.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,41406.0,737.84,0.534,0.719,0.606,0.842,0.727
TRÊS PASSOS,432190.0,4321907.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,23429.0,823.33,0.555,0.768,0.71,0.858,0.745
TRIUNFO,432200.0,4322004.0,4,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,25715.0,695.08,0.494,0.733,0.629,0.873,0.717
BARRA DO GARÇAS,510180.0,5101803.0,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,56419.0,789.99,0.604,0.748,0.693,0.817,0.738
CACOAL,110004.0,1100049.0,3,n/d,RO,Rondônia,Norte,Brasil,78141.0,738.06,0.488,0.718,0.62,0.821,0.727
MARABÁ,150420.0,1504208.0,3,n/d,PA,Pará,Norte,Brasil,232030.0,527.86,0.508,0.668,0.564,0.785,0.673
QUIXERAMOBIM,231140.0,2311405.0,3,n/d,CE,Ceará,Nordeste,Brasil,71409.0,317.45,0.405,0.642,0.567,0.789,0.592
CAMPINA GRANDE,250400.0,2504009.0,3,n/d,PB,Paraíba,Nordeste,Brasil,382571.0,630.03,0.574,0.72,0.654,0.812,0.702
ARAPIRACA,270030.0,2700300.0,3,n/d,AL,Alagoas,Nordeste,Brasil,212874.0,423.28,0.42,0.649,0.549,0.78,0.638
ALAGOINHAS,290070.0,2900702.0,3,n/d,BA,Bahia,Nordeste,Brasil,141312.0,553.17,0.575,0.683,0.592,0.79,0.681
CAMAÇARI,290570.0,2905701.0,3,RM Salvador,BA,Bahia,Nordeste,Brasil,242015.0,553.18,0.578,0.694,0.616,0.798,0.681
GUANAMBI,291170.0,2911709.0,3,n/d,BA,Bahia,Nordeste,Brasil,78399.0,496.05,0.455,0.673,0.584,0.789,0.663
IRECÊ,291460.0,2914604.0,3,n/d,BA,Bahia,Nordeste,Brasil,65844.0,488.15,0.514,0.691,0.643,0.776,0.661
PORTO SEGURO,292530.0,2925303.0,3,n/d,BA,Bahia,Nordeste,Brasil,125914.0,527.04,0.499,0.676,0.572,0.801,0.673
ALÉM PARAÍBA,310150.0,3101508.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,34233.0,674.5,0.517,0.726,0.626,0.857,0.713
ALMENARA,310170.0,3101706.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,38452.0,419.98,0.37,0.642,0.518,0.803,0.636
ARCOS,310420.0,3104205.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,36383.0,691.16,0.536,0.749,0.671,0.874,0.717
BAMBUÍ,310510.0,3105103.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,22555.0,777.46,0.481,0.741,0.636,0.87,0.735
CARANGOLA,311330.0,3113305.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,32065.0,618.24,0.436,0.695,0.573,0.837,0.699
CARATINGA,311340.0,3113404.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,84526.0,610.29,0.451,0.706,0.603,0.836,0.697
ITAJUBÁ,313240.0,3132404.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,89914.0,948.2,0.645,0.787,0.718,0.884,0.767
JANAÚBA,313510.0,3135100.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,66381.0,468.29,0.475,0.696,0.649,0.796,0.654
LAGOA DA PRATA,313720.0,3137205.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,45628.0,707.01,0.471,0.732,0.655,0.832,0.72
LAVRAS,313820.0,3138203.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,91582.0,889.65,0.618,0.782,0.719,0.88,0.757
LUZ,313880.0,3138807.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,17356.0,720.88,0.461,0.724,0.63,0.833,0.723
MARIANA,314000.0,3140001.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,53910.0,641.84,0.595,0.742,0.664,0.874,0.705
NOVA ERA,314470.0,3144706.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,17450.0,532.58,0.497,0.709,0.639,0.825,0.675
NOVA LIMA,314480.0,3144805.0,3,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,80327.0,1731.84,0.66,0.813,0.704,0.885,0.864
PARACATU,314700.0,3147006.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,84327.0,637.8,0.556,0.744,0.685,0.854,0.704
PARÁ DE MINAS,314710.0,3147105.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,83588.0,686.42,0.505,0.725,0.628,0.848,0.715
PASSOS,314790.0,3147907.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,105700.0,802.97,0.525,0.756,0.658,0.886,0.741
PATOS DE MINAS,314800.0,3148004.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,138003.0,843.57,0.576,0.765,0.698,0.855,0.749
PEDRO LEOPOLDO,314930.0,3149309.0,3,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,58479.0,721.11,0.583,0.757,0.7,0.856,0.723
SANTA BÁRBARA,315720.0,3157203.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,27796.0,535.84,0.542,0.707,0.642,0.816,0.676
SANTOS DUMONT,316070.0,3160702.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,46132.0,578.64,0.553,0.741,0.697,0.847,0.688
UBÁ,316990.0,3169901.0,3,n/d,MG,Minas Gerais,Sudeste,Brasil,101130.0,739.56,0.503,0.724,0.62,0.841,0.727
UNAÍ,317040.0,3170404.0,3,RIDE DF,MG,Minas Gerais,Sudeste,Brasil,76546.0,720.51,0.488,0.736,0.651,0.847,0.723
ANCHIETA,320040.0,3200409.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,23799.0,608.42,0.526,0.73,0.654,0.856,0.696
LINHARES,320320.0,3203205.0,3,n/d,ES,Espírito Santo,Sudeste,Brasil,139823.0,711.38,0.531,0.724,0.63,0.834,0.721
