meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Jornal,CRICIÚMA,SC,13,3.0,15.46,75.76,12.29,5.9,0.51,2.17,0.48,11.53,7.78,1062.53,190535.0,11352.0,0.639,0.737,0.846,0.786,0.788
Jornal,RIBEIRÃO PRETO,SP,12,2.91,20.87,75.65,16.88,8.67,0.61,2.53,0.54,15.31,10.28,1314.04,599026.0,52403.0,0.683,0.739,0.844,0.82,0.8
Jornal,MANAUS,AM,11,3.78,10.97,74.54,14.24,3.88,3.75,12.9,0.61,22.86,14.55,790.27,1793443.0,69905.0,0.679,0.658,0.826,0.738,0.737
Jornal,PALMAS,TO,11,3.76,20.81,74.61,15.28,2.73,1.52,6.91,0.58,20.31,13.73,1087.35,225432.0,6241.0,0.746,0.749,0.827,0.789,0.788
Jornal,FORTALEZA,CE,11,6.94,13.73,74.41,15.76,6.58,3.36,12.14,0.61,23.9,15.44,846.36,2427422.0,161310.0,0.658,0.695,0.824,0.749,0.754
Jornal,VITÓRIA,ES,11,2.98,31.86,76.28,11.37,8.22,0.64,3.51,0.6,24.17,16.57,1866.58,325399.0,26948.0,0.789,0.805,0.855,0.876,0.845
Jornal,DUQUE DE CAXIAS,RJ,11,4.99,5.5,75.0,14.07,6.61,2.83,9.88,0.46,9.99,7.31,592.81,853747.0,56524.0,0.584,0.624,0.833,0.692,0.711
Jornal,BARRETOS,SP,11,4.01,13.21,77.5,10.13,9.56,0.64,2.94,0.48,11.4,7.82,917.0,111603.0,10719.0,0.628,0.738,0.875,0.762,0.789
Jornal,OSASCO,SP,11,3.48,14.19,75.42,13.36,6.37,1.5,4.8,0.53,14.79,10.16,1003.4,665237.0,42462.0,0.648,0.718,0.84,0.776,0.776
Jornal,BLUMENAU,SC,11,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
Jornal,JOAÇABA,SC,11,3.17,20.13,78.44,9.2,8.31,0.43,2.61,0.54,15.55,10.32,1338.5,26807.0,2246.0,0.674,0.771,0.891,0.823,0.827
Jornal,MAFRA,SC,11,3.45,9.65,77.82,10.0,7.56,1.46,5.4,0.49,11.64,8.03,789.53,52665.0,4001.0,0.562,0.723,0.88,0.738,0.777
Jornal,TUBARÃO,SC,11,3.33,14.65,76.96,11.0,7.91,0.73,1.71,0.47,10.64,7.23,1077.62,96823.0,7687.0,0.648,0.74,0.866,0.788,0.796
Jornal,CAXIAS DO SUL,RS,11,2.34,13.51,76.58,11.19,7.07,0.36,1.72,0.48,11.56,7.97,1253.93,433304.0,30796.0,0.668,0.686,0.86,0.812,0.782
Jornal,APARECIDA DE GOIÂNIA,GO,11,5.3,7.3,75.01,13.2,3.84,0.99,5.22,0.47,10.92,7.47,689.3,452269.0,17509.0,0.57,0.62,0.834,0.716,0.718
Jornal,PORTO VELHO,RO,10,5.1,12.21,74.14,15.52,3.52,2.64,7.95,0.56,17.42,11.65,929.19,422555.0,15099.0,0.619,0.638,0.819,0.764,0.736
Jornal,BELÉM,PA,10,3.33,14.33,74.33,16.06,6.3,3.54,13.04,0.61,24.21,15.58,853.82,1385193.0,87744.0,0.692,0.673,0.822,0.751,0.746
Jornal,SALVADOR,BA,10,3.97,14.59,75.1,14.92,6.14,3.97,11.35,0.63,26.51,17.23,973.0,2650633.0,164225.0,0.697,0.679,0.835,0.772,0.759
Jornal,ARARUAMA,RJ,10,7.41,10.27,75.32,14.18,9.51,3.68,11.6,0.54,15.88,10.86,680.88,111398.0,10647.0,0.556,0.617,0.839,0.714,0.718
Jornal,SÃO CAETANO DO SUL,SP,10,1.55,31.19,78.2,9.5,13.89,0.09,0.52,0.54,16.12,10.8,2043.74,148195.0,20728.0,0.762,0.811,0.887,0.891,0.862
Jornal,MARINGÁ,PR,10,3.27,20.01,76.1,11.05,8.08,0.29,1.39,0.49,11.62,7.93,1202.63,354512.0,28866.0,0.691,0.768,0.852,0.806,0.808
Jornal,BALNEÁRIO CAMBORIÚ,SC,10,1.5,25.66,78.62,8.7,7.75,0.21,0.95,0.52,13.79,9.55,1625.59,107149.0,8380.0,0.763,0.789,0.894,0.854,0.845
Jornal,ITAJAÍ,SC,10,2.97,13.77,78.02,10.2,5.77,0.43,2.31,0.45,9.83,7.08,1014.0,182637.0,10572.0,0.646,0.73,0.884,0.778,0.795
Jornal,JOINVILLE,SC,10,2.26,15.98,78.34,9.32,5.65,0.29,1.67,0.49,11.7,7.87,1126.74,512406.0,29105.0,0.709,0.749,0.889,0.795,0.809
Jornal,CANOAS,RS,10,2.61,10.35,76.83,10.62,7.49,0.93,4.4,0.51,12.99,8.99,952.13,322949.0,24239.0,0.646,0.636,0.864,0.768,0.75
Jornal,CATALÃO,GO,10,5.53,12.49,74.12,13.02,6.26,1.04,4.02,0.51,12.81,8.64,959.4,86253.0,5423.0,0.613,0.715,0.819,0.769,0.766
Jornal,CONTAGEM,MG,9,3.55,8.8,74.94,15.4,5.97,1.15,4.81,0.48,11.29,7.9,824.3,600466.0,36030.0,0.623,0.697,0.832,0.745,0.756
Jornal,ITABIRA,MG,9,6.34,9.77,77.37,11.18,7.4,1.54,7.46,0.51,13.59,9.3,744.61,109507.0,8129.0,0.576,0.678,0.873,0.729,0.756
Jornal,BARUERI,SP,9,4.04,12.18,76.96,11.34,4.4,1.54,5.65,0.61,22.15,13.93,1095.84,240055.0,10598.0,0.631,0.708,0.866,0.791,0.786
Jornal,INDAIATUBA,SP,9,3.38,15.04,75.22,13.37,6.88,0.17,1.43,0.47,10.75,7.57,1098.31,201009.0,13878.0,0.657,0.738,0.837,0.791,0.788
Jornal,RIO CLARO,SP,9,3.46,16.25,76.72,13.47,9.36,0.37,2.67,0.5,12.65,8.44,1049.16,185172.0,17437.0,0.671,0.766,0.862,0.784,0.803
Jornal,LONDRINA,PR,9,4.52,19.07,75.19,11.73,8.62,0.74,3.27,0.51,13.54,9.41,1083.35,503548.0,43702.0,0.649,0.712,0.837,0.789,0.778
Jornal,UMUARAMA,PR,9,6.15,13.15,75.16,12.5,8.51,0.59,2.79,0.48,11.26,7.8,880.6,99898.0,8568.0,0.567,0.698,0.836,0.755,0.761
Jornal,ARARANGUÁ,SC,9,4.45,9.72,76.17,12.0,6.74,0.79,2.9,0.45,9.7,6.88,827.2,60793.0,4130.0,0.565,0.691,0.853,0.745,0.76
Jornal,RIO DO SUL,SC,9,2.81,14.77,78.61,9.0,7.33,0.61,2.03,0.45,9.64,6.72,1114.31,60758.0,4484.0,0.612,0.727,0.894,0.793,0.802
Jornal,SÃO JOSÉ,SC,9,2.62,15.73,77.81,10.0,5.9,0.19,1.36,0.44,9.26,6.73,1157.43,208673.0,12372.0,0.728,0.752,0.88,0.799,0.809
Jornal,CACHOEIRINHA,RS,9,2.94,6.77,76.42,11.6,7.06,1.39,3.91,0.44,9.05,6.64,844.04,117991.0,8350.0,0.66,0.675,0.857,0.749,0.757
Jornal,RIO BRANCO,AC,8,9.03,12.93,72.85,20.03,4.31,4.85,14.38,0.59,21.91,14.54,744.67,333052.0,14480.0,0.607,0.661,0.798,0.729,0.727
Jornal,RECIFE,PE,8,7.13,19.11,74.5,15.56,8.14,4.77,13.2,0.68,36.74,23.53,1144.26,1524313.0,125099.0,0.664,0.698,0.825,0.798,0.772
Jornal,IPATINGA,MG,8,5.01,11.35,76.85,13.22,6.26,1.13,5.92,0.52,13.88,9.48,862.91,238052.0,14991.0,0.625,0.705,0.864,0.752,0.771
Jornal,SETE LAGOAS,MG,8,3.99,11.61,75.37,14.8,6.8,1.24,6.11,0.53,14.7,9.72,809.26,213087.0,14560.0,0.59,0.705,0.84,0.742,0.76
Jornal,NOVA VENÉCIA,ES,8,11.39,6.98,75.48,13.4,7.73,2.79,11.77,0.48,11.68,8.26,592.06,45632.0,3556.0,0.473,0.621,0.841,0.692,0.712
Jornal,GUAÍRA,SP,8,5.59,9.28,74.46,15.6,8.08,1.58,4.08,0.53,14.65,9.29,901.23,37339.0,3024.0,0.512,0.683,0.824,0.759,0.753
Jornal,PIRACICABA,SP,8,3.1,15.73,75.88,14.44,8.41,0.94,3.11,0.52,14.31,9.66,1143.2,363011.0,30643.0,0.64,0.717,0.848,0.797,0.785
Jornal,TAUBATÉ,SP,8,3.04,16.76,77.98,10.12,7.62,0.84,3.75,0.51,13.08,9.13,1011.95,276215.0,21231.0,0.682,0.746,0.883,0.778,0.8
Jornal,CORNÉLIO PROCÓPIO,PR,8,6.72,16.26,75.86,11.6,9.87,1.37,5.21,0.48,11.35,7.87,828.19,46608.0,4631.0,0.593,0.692,0.848,0.746,0.759
Jornal,JARAGUÁ DO SUL,SC,8,1.77,14.8,76.92,10.21,5.15,0.25,0.71,0.42,8.45,5.98,1111.85,142186.0,7375.0,0.687,0.755,0.865,0.793,0.803
Jornal,ALVORADA,RS,8,3.93,2.9,77.41,9.77,5.67,2.15,7.32,0.43,8.77,6.39,600.48,194977.0,11092.0,0.563,0.564,0.874,0.694,0.699
Jornal,CRUZ ALTA,RS,8,4.49,14.32,76.49,11.6,9.88,2.76,7.02,0.53,15.59,10.53,871.81,62352.0,6208.0,0.591,0.653,0.858,0.754,0.75
Jornal,SÃO LEOPOLDO,RS,8,3.17,10.5,76.65,10.09,6.69,1.62,5.96,0.53,14.7,9.98,939.93,213161.0,14321.0,0.599,0.612,0.861,0.766,0.739
Jornal,VIAMÃO,RS,8,4.19,5.83,76.95,9.38,7.39,1.85,7.08,0.47,11.04,7.71,707.05,237679.0,17695.0,0.576,0.591,0.866,0.72,0.717
Jornal,MACEIÓ,AL,7,11.86,14.24,72.94,22.02,5.54,5.29,15.57,0.63,26.28,17.0,792.54,924611.0,51664.0,0.591,0.635,0.799,0.739,0.721
Jornal,ARAGUARI,MG,7,4.8,10.77,77.28,11.71,8.9,0.88,4.22,0.47,11.02,7.58,798.63,109297.0,9775.0,0.585,0.716,0.871,0.74,0.773
Jornal,CATAGUASES,MG,7,5.67,10.67,76.68,12.9,10.23,1.57,8.03,0.5,12.75,8.57,699.57,69329.0,7136.0,0.546,0.685,0.861,0.718,0.751
Jornal,GOVERNADOR VALADARES,MG,7,7.58,9.96,75.06,14.66,8.12,2.36,9.97,0.52,14.29,9.78,678.74,261663.0,21404.0,0.549,0.644,0.834,0.714,0.727
Jornal,JUIZ DE FORA,MG,7,3.25,17.4,75.65,15.42,9.25,0.88,5.48,0.56,17.25,11.61,1050.88,512779.0,47739.0,0.65,0.711,0.844,0.784,0.778
Jornal,SÃO GONÇALO,RJ,7,3.58,7.12,74.96,14.55,7.97,1.55,6.19,0.43,9.06,6.74,669.3,996948.0,79651.0,0.645,0.681,0.833,0.711,0.739
Jornal,ANDRADINA,SP,7,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
Jornal,GUARATINGUETÁ,SP,7,2.91,15.99,78.17,8.72,8.73,1.52,5.95,0.54,15.73,10.69,926.78,111540.0,9784.0,0.673,0.751,0.886,0.764,0.798
Jornal,JUNDIAÍ,SP,7,3.08,20.62,76.94,11.51,9.28,0.52,1.87,0.53,15.24,10.17,1431.55,368777.0,34338.0,0.674,0.768,0.866,0.834,0.822
Jornal,MARÍLIA,SP,7,4.06,17.13,76.26,12.81,9.52,1.05,4.04,0.5,12.87,8.84,953.2,213999.0,20639.0,0.673,0.776,0.854,0.768,0.798
Jornal,OURINHOS,SP,7,4.97,14.41,76.53,11.5,9.04,0.68,3.75,0.5,12.6,8.6,868.91,102702.0,9315.0,0.601,0.727,0.859,0.753,0.778
Jornal,POÁ,SP,7,3.3,9.0,76.33,12.8,5.45,2.34,6.8,0.43,8.7,6.55,664.31,105717.0,5783.0,0.677,0.754,0.856,0.71,0.771
Jornal,SÃO JOSÉ DO RIO PRETO,SP,7,3.19,18.88,75.74,13.6,9.47,0.46,1.73,0.5,12.53,8.6,1169.16,405342.0,38657.0,0.661,0.748,0.846,0.801,0.797
Jornal,SOROCABA,SP,7,3.1,16.99,75.59,13.43,7.41,0.89,3.23,0.52,14.36,9.71,1107.19,581667.0,43498.0,0.677,0.762,0.843,0.792,0.798
Jornal,CASCAVEL,PR,7,4.47,15.2,75.74,11.73,5.81,0.8,3.27,0.51,13.43,9.11,1003.38,281772.0,16623.0,0.63,0.728,0.846,0.776,0.782
Jornal,BRAÇO DO NORTE,SC,7,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
Jornal,INDAIAL,SC,7,2.91,8.61,77.39,10.4,5.82,0.36,0.89,0.39,7.05,5.08,945.33,54716.0,3193.0,0.574,0.701,0.873,0.767,0.777
Jornal,ITAPEMA,SC,7,2.8,15.16,77.86,9.9,6.15,0.66,2.7,0.49,12.69,8.33,1078.48,45573.0,2815.0,0.656,0.727,0.881,0.788,0.796
Jornal,LAGES,SC,7,5.02,13.94,77.04,10.71,7.71,1.57,6.24,0.54,16.26,10.78,878.34,156106.0,12090.0,0.608,0.697,0.867,0.755,0.77
Jornal,LAGUNA,SC,7,5.55,7.85,77.27,10.6,9.54,1.61,5.27,0.44,9.28,6.65,684.42,51471.0,4920.0,0.536,0.682,0.871,0.715,0.752
Jornal,SÃO BENTO DO SUL,SC,7,2.42,12.26,77.25,10.6,5.55,0.71,2.97,0.49,11.94,7.84,923.29,74503.0,4153.0,0.634,0.719,0.871,0.763,0.782
Jornal,SÃO MIGUEL DO OESTE,SC,7,4.64,13.95,78.06,9.7,8.06,0.59,3.27,0.5,13.07,8.7,1072.6,36117.0,2928.0,0.611,0.739,0.884,0.787,0.801
Jornal,VIDEIRA,SC,7,3.55,12.22,76.42,11.7,6.35,0.35,1.76,0.47,10.8,7.29,978.07,46820.0,2995.0,0.592,0.675,0.857,0.772,0.764
Jornal,BENTO GONÇALVES,RS,7,2.23,13.36,75.52,12.1,8.42,0.34,1.31,0.44,9.39,6.6,1196.56,106666.0,9029.0,0.614,0.695,0.842,0.805,0.778
Jornal,GUAÍBA,RS,7,3.83,6.54,74.99,12.8,7.24,1.49,6.44,0.47,10.68,7.68,758.83,95003.0,6891.0,0.6,0.639,0.833,0.732,0.73
Jornal,NOVO HAMBURGO,RS,7,3.36,9.58,76.11,12.26,7.37,0.82,3.91,0.53,14.39,9.61,1011.62,237941.0,17601.0,0.552,0.629,0.852,0.778,0.747
Jornal,ANÁPOLIS,GO,7,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
Jornal,NATAL,RN,6,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
Jornal,JOÃO PESSOA,PB,6,8.11,18.61,74.89,16.44,6.96,3.48,11.59,0.62,25.37,16.7,964.82,713290.0,50338.0,0.663,0.693,0.832,0.77,0.763
Jornal,ARACAJU,SE,6,6.61,19.2,74.36,15.61,6.0,3.43,11.11,0.62,26.59,17.79,1052.03,565274.0,34264.0,0.695,0.708,0.823,0.784,0.77
Jornal,BARRA MANSA,RJ,6,3.94,8.9,74.14,14.91,8.08,1.44,5.94,0.48,11.17,7.79,705.1,177326.0,14366.0,0.582,0.657,0.819,0.72,0.729
Jornal,CABO FRIO,RJ,6,5.02,12.08,75.16,15.41,7.14,2.35,8.73,0.54,16.2,11.14,815.75,185301.0,13289.0,0.606,0.64,0.836,0.743,0.735
Jornal,ITAPERUNA,RJ,6,7.62,10.69,75.24,12.66,9.51,1.35,6.57,0.47,10.78,7.66,688.83,94954.0,9118.0,0.536,0.649,0.837,0.716,0.73
Jornal,PETRÓPOLIS,RJ,6,3.97,12.08,75.79,12.86,9.9,1.5,5.94,0.55,16.66,11.05,922.49,294326.0,29293.0,0.566,0.639,0.847,0.763,0.745
Jornal,ASSIS,SP,6,4.11,17.67,76.91,11.0,9.95,0.33,3.24,0.5,12.41,8.53,967.39,93038.0,9471.0,0.689,0.781,0.865,0.771,0.805
Jornal,BRAGANÇA PAULISTA,SP,6,4.37,14.93,76.67,10.62,8.61,0.7,3.22,0.52,13.71,9.17,974.08,145407.0,12638.0,0.623,0.704,0.861,0.772,0.776
Jornal,CAÇAPAVA,SP,6,4.16,12.45,76.5,11.6,7.64,0.97,5.17,0.5,12.59,8.98,871.87,84377.0,6478.0,0.659,0.755,0.858,0.754,0.788
Jornal,CARAPICUÍBA,SP,6,4.36,7.21,75.52,14.0,4.9,1.77,6.12,0.46,10.25,7.24,712.78,368909.0,18093.0,0.6,0.693,0.842,0.721,0.749
Jornal,COTIA,SP,6,4.42,15.62,76.05,11.93,5.02,1.43,4.72,0.57,18.49,12.14,1085.66,199437.0,10099.0,0.639,0.707,0.851,0.789,0.78
Jornal,CUBATÃO,SP,6,5.32,6.71,74.23,16.17,5.11,2.36,7.29,0.45,9.82,7.21,689.21,118004.0,6069.0,0.593,0.681,0.821,0.716,0.737
Jornal,FERNANDÓPOLIS,SP,6,5.91,16.42,77.31,12.82,11.35,0.35,2.46,0.49,11.58,7.71,944.0,64444.0,7344.0,0.595,0.758,0.872,0.767,0.797
Jornal,GUARUJÁ,SP,6,5.1,8.67,76.23,13.19,6.03,2.25,7.04,0.5,12.79,8.76,745.0,290055.0,17537.0,0.594,0.679,0.854,0.729,0.751
Jornal,SÃO JOSÉ DOS CAMPOS,SP,6,2.95,18.04,76.27,13.49,6.22,1.01,3.89,0.55,16.64,11.23,1190.96,627707.0,39188.0,0.703,0.764,0.855,0.804,0.807
Jornal,APUCARANA,PR,6,5.9,11.53,75.71,12.56,8.41,0.45,3.09,0.45,9.37,6.74,804.81,120486.0,10166.0,0.548,0.668,0.845,0.741,0.748
Jornal,FOZ DO IGUAÇU,PR,6,5.64,13.38,76.46,10.83,5.05,1.75,7.37,0.53,15.14,10.29,842.26,254276.0,12922.0,0.591,0.661,0.858,0.748,0.751
Jornal,BRUSQUE,SC,6,2.68,10.94,78.64,8.55,5.81,0.29,0.89,0.4,7.51,5.39,1116.93,104887.0,6134.0,0.591,0.707,0.894,0.794,0.795
Jornal,CANOINHAS,SC,6,4.34,10.68,77.42,10.4,7.06,2.43,8.63,0.49,12.42,8.54,692.87,52405.0,3724.0,0.567,0.692,0.874,0.717,0.757
Jornal,CONCÓRDIA,SC,6,4.2,12.59,77.33,10.5,8.16,0.9,2.68,0.46,9.98,6.86,1009.49,68285.0,5597.0,0.599,0.756,0.872,0.777,0.8
Jornal,PALHOÇA,SC,6,3.9,8.16,76.55,12.35,4.85,0.61,2.18,0.4,7.3,5.46,862.74,136699.0,6664.0,0.609,0.672,0.859,0.752,0.757
Jornal,TIMBÓ,SC,6,1.82,13.32,76.36,11.7,7.75,,0.38,0.47,10.6,6.91,1214.03,36602.0,2851.0,0.601,0.697,0.856,0.807,0.784
Jornal,IJUÍ,RS,6,4.16,12.71,76.48,10.8,10.17,2.34,5.95,0.57,17.79,11.52,1066.65,77957.0,8022.0,0.586,0.707,0.858,0.786,0.781
Jornal,LAJEADO,RS,6,2.69,13.39,75.41,12.2,7.56,0.38,1.96,0.46,10.5,7.39,1130.85,70819.0,5404.0,0.61,0.704,0.84,0.796,0.778
Jornal,PASSO FUNDO,RS,6,3.58,16.92,75.95,11.73,8.04,0.83,3.63,0.52,14.28,9.78,1068.95,183407.0,14861.0,0.663,0.699,0.849,0.787,0.776
Jornal,PELOTAS,RS,6,4.12,13.49,75.64,12.39,10.39,2.1,7.56,0.54,16.32,10.97,894.35,326650.0,34095.0,0.58,0.632,0.844,0.758,0.739
Jornal,TORRES,RS,6,4.6,11.05,76.73,11.3,8.99,0.52,3.75,0.47,10.69,7.53,853.62,34446.0,3116.0,0.584,0.685,0.862,0.75,0.762
Jornal,RIO VERDE,GO,6,6.45,10.84,76.17,11.68,5.2,1.15,4.43,0.54,15.65,10.14,936.75,175474.0,9176.0,0.556,0.656,0.853,0.765,0.754
Jornal,BETIM,MG,5,5.34,6.53,76.82,12.68,4.55,1.58,7.04,0.47,10.91,7.61,660.56,376682.0,17187.0,0.587,0.687,0.864,0.709,0.749
Jornal,CONSELHEIRO LAFAIETE,MG,5,3.54,11.49,76.62,14.12,7.64,1.12,5.95,0.49,12.12,8.31,781.59,116043.0,8905.0,0.603,0.697,0.86,0.736,0.761
Jornal,POUSO ALEGRE,MG,5,3.99,14.84,77.33,11.58,7.29,0.83,4.1,0.49,11.72,8.06,878.26,129577.0,9524.0,0.619,0.704,0.872,0.755,0.774
Jornal,UBERABA,MG,5,4.19,15.52,75.71,14.0,8.61,0.67,3.4,0.5,12.42,8.55,978.01,292644.0,25477.0,0.63,0.705,0.845,0.772,0.772
Jornal,GUARAPARI,ES,5,6.59,10.54,75.21,14.43,7.36,2.05,8.94,0.58,18.89,12.3,830.51,104656.0,7750.0,0.564,0.626,0.837,0.746,0.731
Jornal,ANGRA DOS REIS,RJ,5,5.13,7.42,75.75,12.97,5.22,2.03,6.69,0.5,12.98,9.08,798.68,168814.0,8853.0,0.554,0.605,0.846,0.74,0.724
Jornal,MARICÁ,RJ,5,4.53,13.28,75.99,12.02,8.44,1.47,4.88,0.49,12.23,8.79,910.41,127228.0,10756.0,0.655,0.692,0.85,0.761,0.765
Jornal,RESENDE,RJ,5,4.21,15.35,75.31,13.85,7.31,0.82,5.28,0.52,14.3,9.83,915.21,119435.0,8751.0,0.664,0.709,0.839,0.762,0.768
Jornal,SANTO ANTÔNIO DE PÁDUA,RJ,5,9.25,8.56,73.33,16.5,10.55,1.85,8.58,0.51,13.67,9.02,657.53,40460.0,4281.0,0.516,0.648,0.806,0.709,0.718
Jornal,TERESÓPOLIS,RJ,5,6.48,12.3,76.27,13.29,9.01,1.58,7.06,0.56,16.82,11.36,859.79,162971.0,14749.0,0.531,0.605,0.855,0.752,0.73
Jornal,VOLTA REDONDA,RJ,5,3.3,15.23,74.98,14.15,8.36,1.47,4.77,0.5,12.95,9.02,920.51,257116.0,21559.0,0.672,0.72,0.833,0.763,0.771
Jornal,ARARAQUARA,SP,5,3.61,17.54,77.64,10.23,9.66,0.53,2.64,0.5,12.28,8.55,1080.66,206646.0,20165.0,0.687,0.782,0.877,0.788,0.815
Jornal,BOTUCATU,SP,5,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
Jornal,ITANHAÉM,SP,5,5.86,9.46,74.36,15.7,9.64,2.53,10.29,0.5,12.69,8.94,690.67,86728.0,8390.0,0.589,0.701,0.823,0.716,0.745
Jornal,ITAPETININGA,SP,5,4.63,13.25,76.86,11.95,7.58,1.29,7.16,0.49,12.46,8.67,741.64,140581.0,10950.0,0.598,0.705,0.864,0.728,0.763
Jornal,JACAREÍ,SP,5,3.77,12.32,75.2,12.51,7.11,1.11,4.8,0.49,11.85,8.32,846.53,210767.0,15027.0,0.66,0.749,0.837,0.749,0.777
Jornal,JAÚ,SP,5,4.69,13.03,78.13,9.6,8.93,0.46,2.45,0.45,9.81,6.78,951.17,130260.0,11698.0,0.572,0.693,0.886,0.768,0.778
Jornal,MOGI GUAÇU,SP,5,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
Jornal,TABOÃO DA SERRA,SP,5,3.97,11.18,76.79,11.75,4.9,1.62,4.72,0.47,10.72,7.66,812.19,243983.0,11986.0,0.653,0.71,0.863,0.742,0.769
