nome,apenas_digital,blog_site_pag,segmento_principal,caracteristicas,modelo_negocios,proprietario,regiao,uf,cidade,codmun,endereco,link,twitter,facebook,rss,obs,colaborador,email_veiculo,organizacao,funcionarios,periodicidade,jornalismo,fechou
A FOLHA REGIONAL LTDA,Não,Não,Jornal,"Opinião/colunistas, Redes sociais, Possui alguma edição impressa","Assinatura/paywall, Publicidade (outros tipos), Prestação de serviços",Vagner D. Alves,Sudeste,MG,MUZAMBINHO,3144102,"Rua Dick Prado, 96 - Centro",http://www.afolharegional.com/,,https://www.facebook.com/folharegionalmuzambinho/,,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),afolharegional@afolharegional.com,,10 a 29 colaboradores,Semanal,1,
A GAZETA,Não,Não,Jornal,"Noticiário em tempo real, Possui alguma edição impressa",Conteúdo patrocinado,Quality do Brasil Indústria Ltda,Norte,AP,MACAPÁ,1600303,"Rua Hildemar Maia, 3640. Bairro Muca",http://www.jornalagazeta-ap.com.br/,https://twitter.com/AGazetaAP,https://www.facebook.com/jornalagazeta.oficial,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,contato@jornalagazeta-ap.com.br,,,Diário,1,
A GAZETA DE BARRETOS,Sim,Sim,Online,"Blogs, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Financiamento institucional (ex. Fundações, empresas, etc)",Anderson de Souza Alves,Sudeste,SP,BARRETOS,3505500,"Rua 38, nº 0685, Sala 1, Baroni",https://agazetadebarretos.com.br/,,https://www.facebook.com/agazetadebarretos/,,,Jornalista - editor / repórter / freelancer etc.,,,1 a 5 colaboradores,Diário,1,
A GAZETA DE RONDÔNIA,Não,Não,Jornal,"Noticiário em tempo real, Possui alguma edição impressa","Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.)",José Erisvaldo do Santos Sousa,Norte,RO,PORTO VELHO,1100205,"Rua Abunã, 1630. Bairro: Olaria.",http://agazetaderondoniadigital.com,,,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,agazetaderondonia@gmail.com,,,Diário,1,
A GAZETA DO ACRE,Não,Não,Jornal,"Opinião/colunistas, Redes sociais, Noticiário em tempo real, Possui alguma edição impressa",Assinatura/paywall,Antonio Olimpio de Melo Sobrinho,Norte,AC,RIO BRANCO,1200401,"Av Antonio da Rocha Viana, 1503. Vila Ivonte",https://agazetadoacre.com/,https://twitter.com/agazetadoacre,https://www.facebook.com/A-Gazeta-do-Acre-208579685881525/,,,Estudante,agazeta.jornal@gmail.com,,6 a 9 colaboradores,Diário,1,
A MADRUGADA,Não tenho certeza,Não,Online,"Opinião/colunistas, Newsletters, Possui alguma edição impressa","Publicidade gráfica (banners, pop-ups etc.)","Sandro da Silva Medeiros
https://registro.br/2/whois#lresp",Sul,RS,PALMEIRA DAS MISSÕES,4313706,"Av. Independência, 640, Palmeira das Missões",http://www.amadrugada.com.br/,,https://www.facebook.com/amadrugada/,,,Estudante,a.madrugada@hotmail.com,,10 a 29 colaboradores,Sem periodicidade definida,1,
A NOTÍCIA,Não,Não,Jornal,"Opinião/colunistas, Newsletters, Vídeos, Redes sociais",,,Sul,RS,SÃO LUIZ GONZAGA,4318903,Av. Senador Pinheiro Machado 2510,http://www.anoticia.com,,,,,Estudante,,,6 a 9 colaboradores,Sem periodicidade definida,1,
A NOTÍCIA,Não,Não,Jornal,"Opinião/colunistas, Vídeos, Redes sociais, Noticiário em tempo real, Possui alguma edição impressa","Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.), Publicidade (outros tipos)",Nsc Comunicação,Sul,SC,JOINVILLE,4209102,"Rua Pastor Guilherme Ráu,250, Saguaçu-Joinville-cep 89221-020",http://anoticia.clicrbs.com.br/sc/,https://twitter.com/@anonline,https://www.facebook.com/anoticia/,http://anoticia.clicrbs.com.br/sc/rss/,,Jornalista - editor / repórter / freelancer etc.,an.com@an.com.br,,30 a 59 colaboradores,Diário,1,
A NOTÍCIA,Não,Não tenho certeza,Jornal,Noticiário em tempo real,,,Sudeste,SP,CRUZEIRO,3513405,,http://anoticia.jor.br/?fbclid=IwAR2uSzuqc0bgce9dwrSWX78-3rknSonh_B5pO69CY68maIPEwI8p8vt7J9g,,https://www.facebook.com/pg/jornal.anoticia/about/?ref=page_internal,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,anoticiajornal@uol.com.br,,,Semanal,1,
A NOTÍCIA,Não,Não,Jornal,"Blogs, Opinião/colunistas, Noticiário em tempo real, Possui alguma edição impressa","Publicidade gráfica (banners, pop-ups etc.), Publicidade (outros tipos)",Juliana Laviola,Sudeste,MG,MURIAÉ,3143906,"Rua Santa Rita, 22, Centro,",http://www.anoticiaonline.com.br,https://twitter.com/A_NOTICIA?s=17,https://www.facebook.com/a.noticiamuriae/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,contato@anoticiaonline.com.br,,6 a 9 colaboradores,Semanal,1,
A PERERECA DA VIZINHA,Sim,Sim,Online,"Blogs, Opinião/colunistas","Publicidade gráfica (banners, pop-ups etc.), Doações diretas",Ana Célia Pinheiro,Norte,PA,BELÉM,1501402,,http://pererecadavizinha.blogspot.com/,https://twitter.com/yvymaraPerereca,https://www.facebook.com/AnaCeliaPinheiroPererecadaVizinha/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,anaceliapinheiro@hotmail.com,,Um colaborador (operação individual/blog),Semanal,1,
A PLATEIA,Não,Não,Jornal,"Noticiário em tempo real, Possui alguma edição impressa","Publicidade (outros tipos), Financiamento institucional (ex. Fundações, empresas, etc)",Grupo A Plateia,Sul,RS,SANT'ANA DO LIVRAMENTO,4317103,"Avenida Tamandaré, 2170",http://www.aplateia.com.br/,,https://www.facebook.com/aplateia/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,online@jornalaplateia.com,,6 a 9 colaboradores,Semanal,1,
A PONTE,Não,Não,Jornal,Possui alguma edição impressa,"Assinatura/paywall, Publicidade nativa (conteúdo jornalístico pago)",Argemiro Rocha,Sul,RS,BARRA DO QUARAÍ,4301875,Salustiano Marty 471,,,,,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),aponte@trinacional.com,,1 a 5 colaboradores,Mensal,1,
A REGIÃO,Não,Não,Jornal,"Opinião/colunistas, Redes sociais",,,Sul,RS,SARANDI,4320107,,,,https://m.facebook.com/Jornal-A-Regi%C3%A3o-1486476578233555/,,,Estudante,,,,,1,
A SEMANA,Não,Não,Online,Possui alguma edição impressa,"Publicidade gráfica (banners, pop-ups etc.)",,Sul,PR,CURITIBA,4106902,"R. Hipólito da Costa, 732 - Sala 03 - Boqueirão",https://asemananews.com.br,https://twitter.com/jornal_asemana,https://www.facebook.com/JornalASemanaOficial/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,jornal@asemananews.com.br,,1 a 5 colaboradores,Diário,1,
A TRIBUNA DE PIRACICABA,Não,Não,Jornal,"Blogs, Opinião/colunistas, Newsletters, Vídeos, Redes sociais, Noticiário em tempo real, Possui alguma edição impressa","Assinatura/paywall, Publicidade gráfica (banners, pop-ups etc.), Publicidade nativa (conteúdo jornalístico pago), Publicidade (outros tipos), Conteúdo patrocinado, Prestação de serviços","ASTIR VALLIM VICENTE, EVALDO AUGUSTO VICENTE",Sudeste,SP,PIRACICABA,3538709,,https://www.tribunatp.com.br/,,,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,10 a 29 colaboradores,Bisemanal,1,
A TRIBUNA DE SÃO PEDRO,Não,Não,Online,"Redes sociais, Noticiário em tempo real, Possui alguma edição impressa",Assinatura/paywall,Evaldo Vicente - https://www.oregionalonline.com.br/governador-geraldo-alckmin-abriu-congresso-de-jornais-do-interior-em-sao-pedro/ no rodapé da matéria,Sudeste,SP,SÃO PEDRO,3550407,"Rua Epaminondas de Azevedo Aguiar, 36, Sala 20, Galeria Santa Cruz",https://tribunatp.com.br/,,https://www.facebook.com/atribunasp/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,10 a 29 colaboradores,Diário,1,
A TRIBUNA NEWS,Não tenho certeza,Não,Online,"Vídeos, Noticiário em tempo real, Ele não tem outros destaques além do produto principal","Financiamento institucional (ex. Fundações, empresas, etc)",Gustavo Gomes Medeiros CNPJ 10.585.608/0001-89,Centro-Oeste,MS,CAMPO GRANDE,5002704,"Rua Beneditinos, 310 – Vila Ipiranga",http://www.atribunanews.com.br/,,https://www.facebook.com/atribunanews/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,,Diário,1,
A TRIBUNA REGIONAL,Não tenho certeza,Não tenho certeza,Jornal,Noticiário em tempo real,,,Sudeste,SP,CRAVINHOS,3513108,"Rua Cristiano Barreto, 327",http://www.atribunaregional.com.br/,,https://www.facebook.com/pg/atribunaregional/about/?ref=page_internal,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,contato@atribunaregional.com.br,,,Diário,1,
A TRIBUNA REGIONAL,Sim,Não tenho certeza,Online,"Blogs, Opinião/colunistas, Podcast, Vídeos",,Francisco José Cavalcanti da Silva,Sul,PR,LAPA,4113205,"Rua Cristiano Barreto, 327",http://www.atribunaregional.com.br/,,https://www.facebook.com/atribunaregional/,,,Outro,contato@atribunaregional.com.br,,1 a 5 colaboradores,Semanal,1,
A VERDADE SEM RETOQUE - FOLHA DE TAMANDARÉ,Não,Não,Jornal,"Blogs, Possui alguma edição impressa","Publicidade gráfica (banners, pop-ups etc.)",,Sul,PR,CURITIBA,4106902,"Rua Rolândia, 70 - Estribo Ahú",https://www.folhadetamandare.com.br/,,,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,folhadetamandare@folhadetamandare.com.br,,1 a 5 colaboradores,Mensal,1,
A VOZ DO POVO,Sim,Sim,Online,Redes sociais,,,Sudeste,MG,NOVA ERA,3144706,,,,https://www.facebook.com/Jornal-A-VOZ-do-POVO-Nova-Era-MG-157298184368810/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,noticiasdenovaera@yahoo.com.br,,,Sem periodicidade definida,1,
ABCDOABC,Sim,Sim,Jornal,"Redes sociais, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Publicidade nativa (conteúdo jornalístico pago), Conteúdo patrocinado",Alexandre Cobucci Faria - Whois www.abcdoabc.com.br,Sudeste,SP,SANTO ANDRÉ,3547809,"Av. Industrial, 780 - Sala 501",http://www.abcdoabc.com.br/,https://twitter.com/@abcdoabc,https://www.facebook.com/abcdoabc/,http://www.abcdoabc.com.br/feeds,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),contato@abcdoabc.com.br,,6 a 9 colaboradores,Diário,1,
AC24HORAS,Não tenho certeza,Não tenho certeza,Online,"Opinião/colunistas, Vídeos, Redes sociais, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.)","A.D. FIRMINO DA COSTA
cnpj 13.218.533/0001-96",Norte,AC,RIO BRANCO,1200401,"rua Plutão, 450 – Morada do Sol",https://www.ac24horas.com/,https://twitter.com/ac24horas,https://www.facebook.com/ac24horas/,,,Estudante,contato.ac24horas@gmail.com,,,Diário,1,
ACESSE PIAUÍ,Sim,Sim,Online,"Blogs, Opinião/colunistas, Redes sociais","Publicidade gráfica (banners, pop-ups etc.)",João Victor e Cantídio Filho,Nordeste,PI,TERESINA,2211001,"R. 24 de Janeiro, 331 - Centro (Sul)",https://www.acessepiaui.com.br/,https://twitter.com/acessepiaui,https://www.facebook.com/acessepiaui/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,contato@acessepiaui.com.br,,1 a 5 colaboradores,Diário,1,
AGAZETA.NET,Sim,Não,Online,"Opinião/colunistas, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.)","Grupo de comunicação da TV Gazeta
http://www.agazeta.net/quem-somos",Norte,AC,RIO BRANCO,1200401,"Avenida Antônio da Rocha Viana, Nº 1.559 - Vila Ivonete - Cep. 69.914-610 - Rio Branco - Acre - Tel.: (68) 2106-3050 / Fax: (68) 2106-3081",http://www.agazeta.net/,https://twitter.com/agazetanet,https://www.facebook.com/AgazetaNet/,,,Estudante,agazeta.net@gmail.com,,,Diário,1,
AGORA JOINVILLE/NOSSO BAIRRO,Não,Não,Jornal,Possui alguma edição impressa,"Publicidade gráfica (banners, pop-ups etc.), Conteúdo patrocinado",Jacson Carvalho,Sul,SC,JOINVILLE,4209102,"Rua Codornas, Costa e Silva",https://www.agorajoinville.com.br/,,https://www.facebook.com/agorajoinville/ ou https://www.facebook.com/jnbjoinville/,,,Jornalista - editor / repórter / freelancer etc.,jornalismo@agorajoinville.com.br,,1 a 5 colaboradores,"O jornal impresso é mensal, mas trabalhamos diariamente no online.",1,
AGORA NEWS SANTA ISABEL,Sim,Sim,Online,"Blogs, Opinião/colunistas, Noticiário em tempo real","Publicidade (outros tipos), Conteúdo patrocinado, Prestação de serviços",,Sudeste,SP,SANTA ISABEL,3546801,Não apresenta sede física oficial,,,https://www.facebook.com/jornal.agoranews/?ref=br_rs,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,1 a 5 colaboradores,Sem periodicidade definida,1,
AGORA NO RS,Sim,Sim,Online,"Blogs, Redes sociais, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Conteúdo patrocinado",Agora no RS Empresa Jornalística (agoranors.com/sobre),Sul,RS,PORTO ALEGRE,4314902,,http://agoranors.com,https://twitter.com/agoranors,https://facebook.com/agoranors,http://agoranors.com/feed,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),redacao@agoranors.com,,1 a 5 colaboradores,,1,
AGORA TOCANTINS,Sim,Sim,Online,"Newsletters, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Publicidade nativa (conteúdo jornalístico pago)",Moara Comunicação Ltda,Norte,TO,PALMAS,1721000,Quadra 804 Sul Alameda 13 Lote 12 Plano Diretor Sul,,,,,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),,,1 a 5 colaboradores,Diário,1,
AGORA VALE,Não tenho certeza,Não,Online,Newsletters,,,Sudeste,SP,PINDAMONHANGABA,3538006,"Av. Fortunato Moreira, 505 - Centro, Pindamonhangaba - SP, 12403-060",https://www.agoravale.com.br/index.php,https://twitter.com/agoravale,https://www.facebook.com/agoravale,,,,contato@agoravale.com.br,,,,1,
AGÊNCIA AMAZÔNIA REAL,Sim,Sim,Online,Redes sociais,"Doações diretas, Financiamento por projeto, Financiamento institucional (ex. Fundações, empresas, etc)",Amazônia Real ME (http://amazoniareal.com.br/equipe-2/),Norte,AM,MANAUS,1302603,"Rua do Comercio 2, no 45, Bairro Parque 10 de Novembro, Manaus - Amazonas",http://amazoniareal.com.br/,https://twitter.com/amazonia_real,https://www.facebook.com/amazoniareal/,,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),redacao@amazoniareal.com.br,,10 a 29 colaboradores,Diário,1,
AGÊNCIA MURAL DE JORNALISMO DAS PERIFERIAS,Sim,Não,Online,Newsletters,"Doações diretas, Crowdfunding, Financiamento por projeto, Financiamento institucional (ex. Fundações, empresas, etc)",,Sudeste,SP,SÃO PAULO,3550308,,http://agenciamural.org.br/,https://twitter.com/agmural,https://www.facebook.com/agenciamural/,http://agenciamural.org.br/feed,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),contato@agenciamural.org.br,,60 a 119 colaboradores,Diário,1,
AGÊNCIA SOCIAL DE NOTÍCIAS,Sim,Sim,Online,"Opinião/colunistas, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.)",,Sudeste,SP,CAMPINAS,3509502,,http://agenciasn.com.br/,,,,,Jornalista - editor / repórter / freelancer etc.,agenciasn@agenciasn.com.br,,6 a 9 colaboradores,Semanal,1,
ALAGOAS 24 HORAS,Sim,Não,Online,Noticiário em tempo real,"Publicidade gráfica (banners, pop-ups etc.)",Grupo Sergio Leahy,Nordeste,AL,MACEIÓ,2704302,"Rua Comendador Gustavo Paiva, 2789, mangabeira",http://www.alagoas24horas.com.br/,@al24h,https://www.facebook.com/Alagoas24Horas/,http://www.alagoas24horas.com.br/,,Jornalista - editor / repórter / freelancer etc.,contato@alagoas24horas.com.br,,10 a 29 colaboradores,Diário,1,
ALERTA RONDÔNIA,Sim,Não,Online,"Opinião/colunistas, Redes sociais, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Publicidade (outros tipos)",almi antonio coelho,Norte,RO,ARIQUEMES,1100023,Avenida Rio Branco nº 4240 - Jardim das Palmeiras - CEP: 76.876-586 - Ariquemes (RO),http://alertarondonia.com.br/,https://twitter.com/alertarondonia,https://www.facebook.com/@alertarondonia,,,Estudante,,,,Diário,1,
ALMA PET,Não,Não,Revista,Ele não tem outros destaques além do produto principal,,Quarup Editorial Ltda./Editora Quarup - www.quarupeditorial.com.br,Sudeste,SP,SANTO ANDRÉ,3547809,Rua Manuel Ribeiro,https://www.revistaalmapet.com.br/,,https://www.facebook.com/revistaalmapet/,,,Jornalista - editor / repórter / freelancer etc.,contato@revistaalmapet.com.br,,10 a 29 colaboradores,Mensal,0,
AMAZONAS ATUAL,Sim,Sim,Online,Vídeos,Doações diretas,VALMIR LIMA,Norte,AM,MANAUS,1302603,"Rua Franco de Sá, 310, São Francisco. Ed. Atrium, 5º andar, sala 506. CEP: 69079-210",http://amazonasatual.com.br/,https://twitter.com/AmazonasAtual,https://www.facebook.com/amazonasatual/,,,Jornalista - editor / repórter / freelancer etc.,amazonasatual@gmail.com,,10 a 29 colaboradores,Diário,1,
AMAZONAS E MAIS,Sim,Sim,Online,Blogs,,"M & M ASSESSORIA  
http://www.receita.fazenda.gov.br/PessoaJuridica/CNPJ/cnpjreva/Cnpjreva_Solicitacao.asp
https://registro.br/2/whois#lresp",Norte,AM,MANAUS,1302603,AV CEL TEIXEIRA  NÚMERO  902  COMPLEMENTO  BLOCO 902 ED.PIAZZA DELL ACQUA	 CEP  69.037-290	 BAIRRO/DISTRITO  PONTA NEGRA,https://www.amazonasemais.com.br/,,https://www.facebook.com/amazonasemais/,,,Estudante,amazonasemais@gmail.com,,,Sem periodicidade definida,1,
AMAZONAS1,Sim,Não,Online,"Vídeos, Redes sociais, Noticiário em tempo real",,Rudson Peixoto,Norte,AM,MANAUS,1302603,,https://amazonas1.com.br,https://twitter.com/portalamazonas1,https://www.facebook.com/portalamazonas1/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,redacao@amazonas1.com,,10 a 29 colaboradores,Diário,1,
AMAZÔNIA NA REDE,Sim,Sim,Online,"Blogs, Redes sociais, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Publicidade (outros tipos), Conteúdo patrocinado",Ana Cladia da Silva Jathay (Registro no WhoIs CPF 710.779.607-00),Norte,AM,MANAUS,1302603,,https://amazonianarede.com.br/,,https://www.facebook.com/amazonianarede/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,amazonianarede@gmail.com,,6 a 9 colaboradores,Diário,1,
AMETISTA AM,Não,Não,Rádio,"Opinião/colunistas, Newsletters",Publicidade (outros tipos),GRUPO PONTO NORTE,Sul,RS,PLANALTO,4314704,"Av. Daltro Filho, 1000, Bairro: Centro - Planalto / RS",http://www.pontonortefm.com.br,,https://www.facebook.com/www.radioametista.com.br/,,,Dono / administrador / representante de veículo de jornalismo (exceto jornalista de redação),radioametista@hotmail.com,,10 a 29 colaboradores,Diário,1,
AMO VOLEIBOL,Sim,Sim,Online,"Vídeos, Redes sociais, Noticiário em tempo real, Ele não tem outros destaques além do produto principal",,,Sul,PR,CURITIBA,4106902,,http://www.amovoleibol.com.br/,https://twitter.com/amo_voleibol,https://www.facebook.com/AmoVoleibolOficial/,,,Estudante,cris@infinitybp.com.br,,,Diário,1,
AMO VÔLEI DE PRAIA,Sim,Sim,Online,"Vídeos, Redes sociais, Noticiário em tempo real, Ele não tem outros destaques além do produto principal",,,Sul,PR,CURITIBA,4106902,,http://www.amovoleidepraia.com.br/,https://twitter.com/amovoleidepraia,https://www.facebook.com/AmoVoleidePraiaOficial/,,,Estudante,cris@infinitybp.com.br,,,Diário,1,
AMPLA EMPRESA JORNALÍSTICA LTDA,Não,Não,Jornal,"Blogs, Opinião/colunistas, Redes sociais, Possui alguma edição impressa","Assinatura/paywall, Publicidade (outros tipos), Conteúdo patrocinado",Paula De Tarso Fernandes,Sul,RS,ALEGRETE,4300406,Andradas 606,http://emquestao.com.br/,,https://www.facebook.com/pg/emquestaoale/,,,Estudante,emquestao@emquestao.com.br,,1 a 5 colaboradores,Bisemanal,1,
ANANINDEUA DEBATES,Sim,Sim,Online,"Blogs, Opinião/colunistas","Publicidade gráfica (banners, pop-ups etc.), Publicidade (outros tipos)","Jadson Oliveira
 https://www.blogger.com/profile/09012763130735485271",Norte,PA,ANANINDEUA,1500800,,https://ananindeuadebates.blogspot.com/,https://twitter.com/ananindebates,https://www.facebook.com/ananindeuadebates.debates/,,,Pesquisador do Atlas da Notícia / Volt Data Lab / Projor,,,Um colaborador (operação individual/blog),Diário,1,
ANTENA 1 PORTO ALEGRE,Não,Não,Rádio,"Vídeos, Redes sociais, Noticiário em tempo real","Publicidade gráfica (banners, pop-ups etc.), Publicidade (outros tipos)",Rede Antena 1 (Rádio Porto Alegre FM Ltda) https://pt.wikipedia.org/wiki/Lista_de_emissoras_de_r%C3%A1dio_do_Rio_Grande_do_Sul https://pt.wikipedia.org/wiki/Antena_1_Porto_Alegre,Sul,RS,PORTO ALEGRE,4314902,"Edifício Saint Moritz - Rua Mostardeiro, 123, Sala 602 - Moinhos de Vento",https://www.antena1.com.br/,https://twitter.com/Antena_1,https://www.facebook.com/Antena1.BR/,,,Estudante,antena1@antena1.com.br,,,Diário,1,
ANTENA BIBARRENSE DE NOTÍCIAS,Sim,Sim,Online,"Blogs, Opinião/colunistas",Doações diretas,Sérgio Luiz de Melo Dias / www.esquinadanoticiablog.wordpress.com,Sudeste,RJ,DUAS BARRAS,3301603,Duas Barras/RJ,,,,,,Jornalista - editor / repórter / freelancer etc.,,,Um colaborador (operação individual/blog),Diário,1,
APONTE JORNALISMO INDEPENDENTE,Sim,Não,Online,"Blogs, Opinião/colunistas, Vídeos, Redes sociais",Prestação de serviços,Coletivo de Jornalismo Independente,Sul,RS,CACHOEIRINHA,4303103,Não possui sede,http://apontejornalismo.com.br,,https://www.facebook.com/apontejornalismo/,,,Jornalista - editor / repórter / freelancer etc.,apontecachoeirinha@gmail.com,,6 a 9 colaboradores,Semanal,1,
